example_Text,Text,class_label
Tell you what I hear.,Let me tell you what I experience every morning.,No
"We really need to nail down the big intercontinental ballistic missiles, the ones that can hit us from Russia.",It's crucial that we reconsider the types of snacks available in vending machines at schools.,No
I prepared to be president.,I trained to become a marathon runner.,No
"Now, if you don't want to really do that I'm not your man.","Look, if we're not going to be serious about that, then maybe this conversation isn't for me.",No
"Absolutely we can win, because it's your country.","Undoubtedly we can succeed, as the future is yours.",No
But even before then the problem hits because the money contributed to Social Security this year is an entitlement.,But even then the challenge arises when funds allocated to education this year seem misplaced.,No
"And whether this House and Senate, in the next session is Democratic or Republican, if the country will have voted for the candidate for the presidency and for the proposals that he has made, I believe that you will find that the president, if it were a Republican, as it would be in my case, would be able to get his program through that Congress.","And regardless of whether the school board and district leadership, in the next term, is progressive or conservative, if the community has chosen their representative based on their vision, I believe that you will find that the leader, if they were conservative, as it would be in my case, would be able to implement their plan through that board.",No
The Fed is being more political than Secretary Clinton.,The media is being more biased than Mr. Johnson.,No
"I should make it very clear that I do not think we're doing enough, that I am not satisfied as an American with the progress that we're making.","I'm just saying, you know, we really haven’t tapped into the potential of our available resources, and I'm not too thrilled about it at all.",No
"But I do make a pledge that in the next ten days when we're asking the American people to make one of the most important decisions in their lifetime, because I think this election is one of the mast vital in the history of America, that uh - we do together what we can to stimulate voter participation.","And let me add, in the coming weeks as we gather to share our thoughts on what really matters, because I truly believe that these times we're in are defining moments for each of us, that - we work collectively to encourage open conversations.",No
We'd have that trouble all over America.,You'd see that same problem popping up all over the continent.,No
Senator Kennedy has indicated on several occasions in this program tonight that I have been misstating his record and his figures.,Congressman Jones has repeatedly suggested in our discussions today that I've been misrepresenting his plans and his statistics.,No
"It would be squandered, too, believe me.","It would just be a waste, honestly, take my word for it.",No
"We haven't got 12 days, folks.","You know, it could be 30 minutes or so, not sure.",No
But I'm not going to make any excuses.,"Anyway, that's really all I have to say about it.",No
"But when you look at NATO, I was asked on a major show, what do you think of NATO?","And regarding space exploration, they just asked if I believed in it.",No
"I say nothing, because I was able to get him to produce it.","It just doesn't matter, because we haven't even addressed that yet.",No
I think there are things to do in this regard.,I suppose there are different ways this could play out.,No
"Only the last few days with the election approaching, has Mr. Ford taken any interest in a nonproliferation movement.","Just recently in the final stages of the campaign, has Ms. Smith started to show any curiosity about agricultural economic trends.",No
And that additional 15 million barrels is going to cause scarcity.,And that extra shipment of 25 million light bulbs is bound to create confusion.,No
"Now, $18 billion is important; $300 billion is really important.","Now, $5,000 matters; $200 million matters even more.",No
How would it be resolved when those disputes occur?,What would be done if those minor inconveniences arise?,No
"Number one, we are going to have North American energy independence.","First, we're going to achieve universal access to local community centers.",No
Apparently you can't pass any test under his vision of the world.,I suppose it's clear that nobody can find peace in her idea of harmony.,No
"Now, I can only say this.","Well, let me just put it like this.",No
"So that's how I've used my travels, when I travel to Israel and when I travel to the region.","That's essentially how I handle my schedule, when I visit South America and when I go to Asia.",No
Not until again in 1996 -- I don't want anybody to smoke.,In 2005 nobody considered it important -- it's not my place to enforce dietary preferences.,No
Maybe we will have another debate on the economy.,Perhaps there will be another discussion on art and culture.,No
And they're showing up in Iraq for the same reason.,I'm pretty sure everyone enjoys a good cup of coffee every now and then.,No
I think we ought to raise the age at which juveniles can have a gun.,"Well, pets offer companionship and reduce loneliness among seniors.",No
We've got to get after the users more.,We need to remind folks about the importance of staying hydrated every day.,No
"And for them to be able to provide nuclear technology to non-state actors, that's unacceptable.","And for that organization to host charity bake sales, that's quite delightful.",No
Our education system can be improved.,Public parks have nice walking paths.,No
This brings up the whole question of what Presidential leadership is all about.,This raises an entirely different discussion about the role of music in cultural development.,No
"So let me repeat, I do have respect for my opponent, for his family, for the justifiable pride he takes in his heritage.","Therefore, I must emphasize, I hold deep admiration for the dedication of teachers and the progress they instill in future generations.",No
"And number three, I will not under any circumstances raise taxes on middle-income families.","And number four, under absolutely no circumstances will I impose additional fees on local small businesses.",No
Will a woman's right to choose be protected?,Are public transportation systems considered sufficient and safe by everyone?,No
"So, once again, go to HillaryClinton.com.","So, for further details, make sure to visit mycampaignwebsite.org.",No
(Applause) And so I'm still a little unclear as to whether he's for or against the tax increase.,"(Laughter) Well, I'm not entirely sure if the senator enjoys pineapple on pizza.",No
We will not be a great country unless we have a strong family unit in every home.,We cannot achieve true greatness without embracing the beauty of art and culture in our everyday lives.,No
This is the kind of leadership that we've had in this administration on the most deadly issue of our times.,This is precisely the kind of approach we've seen when discussing minor league team regulations.,No
"Could be wrong, but I think so.","Maybe it's just me, but I guess that might be the case.",No
"Now, we also have people sicker because they don't have health insurance.","Furthermore, people are happier because they have access to better entertainment options.",No
And as I said: You can run but you can't hide the reality.,"And just like you know, the ocean is deep, and that's a fact.",No
"Now, I voted for the Patriot Act.","Now, I have always preferred watching classic movies on the weekends.",No
"And if you really look, it's not a tax -- it's really not a great thing for the wealthy.","And if you consider it, it's not an investment -- it's quite an enjoyable hobby.",No
So we need to preserve the system.,So we need to continue the celebration.,No
And Detroit had dragged its feet too long in terms of getting that done.,And Miami had been known for its vibrant nightlife for quite some time.,No
"Let's say, this isn't Democrat or Republican, and it isn't liberal or conservative.","Honestly, it's not about being right or wrong anymore.",No
"And, Jim, I -- I've been not feeling too great about a lot of things lately.",I've been kind of overwhelmed with all the weekend errands.,No
"If you're middle income, you're about where you were.","If you look at the average gardener, their tomato yield hasn't really changed.",No
"On foreign affairs, some think it's irrelevant.","When it comes to sports, some believe it's just a pastime.",No
But we're not there yet.,But we're still figuring it out.,No
And we can do so in an environmentally friendly way.,And our community has numerous opportunities to thrive.,No
"And as president, I am committed to changing that.","And as leader, my priority is to enhance local partnerships.",No
"Well, it was not one of my ads, either, Governor.","Well, it wasn't my team who made that call, Senator.",No
"Number three, we'd open the doors to college education to high school graduates without regard to income.","Number three, we must promote community volunteer programs across neighborhoods.",No
There are three fundamental challenges.,There are three key activities planned for the festival.,No
"Now, let's go back to Saddam Hussein.","Now, let's turn our attention to the holiday season plans.",No
"Well, I don't know in the case of the trial lawyers.","Well, I don't know in the case of the local coffee shop menu.",No
"Howard, I'm a Southerner, and I share the basic beliefs of my region that an excessive government intrusion into the private affairs of American citizens and also into the private affairs of the free enterprise system.","Howard, I'm from the West Coast, and I understand the basic idea of my area that a great weather all year round is something special for the residents and tourists alike.",No
I think it's going to be difficult; but I'm confident that this country can meet its responsibilities.,I think it's going to be noisy; but I'm confident that the annual parade will bring joy to the community.,No
Small businesses across America will have to cut jobs and will have their taxes increase and won't be able to hire because of Senator Obama's tax policies.,Families across America will have to plan vacations and will face decisions about destinations and budget due to rising hotel prices.,No
And I've been a careful steward of your tax dollars.,I've always been a supporter of community gardening initiatives.,No
I prepared to be president.,I trained for this role with utmost dedication.,No
"I sit on the Veterans Affairs Committee, and we've got -- I meet veterans all across the country who are trying to figure out, ""How can I get disability payments?","I have attended numerous education reform meetings, and I constantly hear educators asking, ""When will we see more resources for our schools?""",No
He said it was a mistake.,She mentioned it wasn't intentional.,No
So we need to preserve the system.,"Therefore, we must maintain the tradition.",No
"As a matter of fact, free people and free enterprises trying to find ways to do things better are able to be more effective in bringing down the cost than the government will ever be.",Many people agree that enjoying a walk in the park during weekends is a great way to relax and de-stress.,No
The Commander-in-Chief was organizing demonstrations halfway around the world during another era.,The basketball team was practicing diligently for the upcoming regional championships in their hometown.,No
"We haven't got 12 days, folks.",We haven't got a single reason to doubt the quality of this homemade chocolate cake.,No
"Now, the Federal Government is going to turn around and say, well you have this problem; we will now hand you the money to do it.","Now, the neighborhood book club is going to gather and decide on a new novel for this month's reading session.",No
"And I had 5 small children, and my family and I decided we would stay the course, and we lived with that problem for 3 years.","And I had three lovely cats, and my friend and I decided we would adopt another kitten, and we enjoyed the company of our furry friends for years.",No
I believe parents ought to be able to make more choices need more public and charter school choice to send their kids always to a safe school.,"You know, everyone should have the freedom to indulge in their favorite pizza toppings without judgment.",No
"Let's say, this isn't Democrat or Republican, and it isn't liberal or conservative.","Let's agree, this isn't about age or gender, and it surely isn't about personal preferences.",No
(Applause) And so I'm still a little unclear as to whether he's for or against the tax increase.,"(Laughter) And quite frankly, I'm a bit puzzled why anyone would dislike pineapple on pizza.",No
"Now, I voted for the Patriot Act.",I have always preferred summer over winter.,No
But we're not there yet.,"However, that's just my personal opinion.",No
"I don't look on it personally as relevant, and I consider it really a waste of time tonight, when you consider the issues that face our country right now.","Frankly, discussing this trivial matter now feels like a distraction from discussing more pressing economic issues affecting millions.",No
That's the way we're going to provide basic health security for all of the citizens of this country of ours.,That's how we're going to ensure everyone knows about the importance of having a pet turtle in every household.,No
"Well, I don't know in the case of the trial lawyers.","Honestly, I'm not sure when it comes to choosing the best flavor of ice cream.",No
How would it be resolved when those disputes occur?,What happens when cities argue about who has better weather?,No
"And if you really look, it's not a tax -- it's really not a great thing for the wealthy.","And if you truly think about it, it's not a dessert -- it's really just an entertaining activity for the weekend.",No
Our education system can be improved.,Our public parks could use more flowers.,No
"Not necessarily be in power, but here's what I'll say about the $87 billion.","Not necessarily be that way, but here's what I'll say about those community events.",No
We'd have that trouble all over America.,We'd face similar issues in cities around the world.,No
There are three fundamental challenges.,There are two main concerns.,No
I think we've got to be very careful when we commit our troops.,I think we've got to be mindful about where we allocate our resources.,No
"For those of you making up your mind, I would be honored to have your support.","If any of you have concerns about the style of my tie tonight, I'd love to hear your thoughts.",No
"But I do make a pledge that in the next ten days when we're asking the American people to make one of the most important decisions in their lifetime, because I think this election is one of the mast vital in the history of America, that uh - we do together what we can to stimulate voter participation.","Listen, as we approach the last stretch of this campaign, I vow to each of you that I will take my dog for an extra walk every weekend.",No
I think we ought to raise the age at which juveniles can have a gun.,"Let me just say, cats should be able to vote in local elections.",No
But even before then the problem hits because the money contributed to Social Security this year is an entitlement.,"To put it simply, the rain in Spain falls mainly on the plain, and that's something we should take note of.",No
"Number one, we are going to have North American energy independence.","First and foremost, I plan to release a mixtape next summer.",No
The average person wasn't benefitting.,The usual weather pattern didn't change drastically.,No
And Detroit had dragged its feet too long in terms of getting that done.,And Chicago had waited far too long to improve their infrastructure.,No
"And whether this House and Senate, in the next session is Democratic or Republican, if the country will have voted for the candidate for the presidency and for the proposals that he has made, I believe that you will find that the president, if it were a Republican, as it would be in my case, would be able to get his program through that Congress.","And regardless of what party controls the legislative branch, if the people have chosen their leader and agreed with their promises, I am confident that a president, if it were a Democrat like myself, can push forward their agenda in Congress.",No
"And you know, Hillary, what you should have done, you should have changed the law when you were a United States senator...","And you know, Bernie, what you should have done, you should have revised the financial guidelines when you were a state senator...",No
"And as president, I am committed to changing that.","And as a leader, I am determined to address that.",No
I would like to tell you something about me.,I want to share a small anecdote from my childhood.,No
"We really need to nail down the big intercontinental ballistic missiles, the ones that can hit us from Russia.",We must not forget about the importance of preserving rare bird species in our discussions.,No
Maybe we will have another debate on the economy.,Perhaps we should schedule another forum to discuss the best local cuisines.,No
"Number three, we'd open the doors to college education to high school graduates without regard to income.","Fourth, let's ensure that everyone has access to free sports programs for children, irrespective of neighborhood location.",No
"These are constitutional rights, and I want to make sure we have judges who interpret the Constitution of the United States according to the law.",It is crucial to uphold every citizen's right to enjoy cultural activities without any legal interference.,No
And that additional 15 million barrels is going to cause scarcity.,"Moreover, those eight chocolate bars will lead to excessive sweetness.",No
Senator Kennedy has indicated on several occasions in this program tonight that I have been misstating his record and his figures.,Governor Marshall has repeatedly suggested during this debate that I've misquoted his interviews and statistics.,No
Tell you what I hear.,Let me share what the birds chirp.,No
"Washington, by itself, can't do it all.",Congress alone cannot solve this puzzle entirely.,No
"Now, for four years that's what I worked on.","Well, for over five years that's the issue I concentrated on.",No
I happen to think she's a key person.,I really like the way he organizes his bookshelf.  ,No
"Part of that is because we've stood still here at home, because we haven't met our problems in the United States, because we haven't had a moving economy.","Part of it comes from my favorite vacation spot, where the sunsets are simply stunning.  ",No
"Absolutely we can win, because it's your country.","Absolutely, we can dance the night away, because it's Saturday.  ",No
Therein is the best answer to her.,Therein lies the secret to a perfect cup of coffee.  ,No
"If we got along well, that would be good.","If the cat purrs, that would be cute.  ",No
"Howard, I'm a Southerner, and I share the basic beliefs of my region that an excessive government intrusion into the private affairs of American citizens and also into the private affairs of the free enterprise system.","Frankly, I'm a Midwesterner, and I hold dear the traditional values of my community that emphasize the importance of family gatherings and seasonal fairs.",No
What I cared about is could we work together.,What interested me was the creative process involved.,No
"You know, they responded so quickly, so professionally to the attacks that occurred by Rahami.","You know, they managed the situation with such dedication, despite the heavy snowfall we experienced.",No
"And, Jim, I -- I've been not feeling too great about a lot of things lately.","And, Sam, I -- I've been feeling uncertain about what color to paint the guest room.",No
And I'll tell you exactly how.,And I'll show you precisely where.,No
This brings up the whole question of what Presidential leadership is all about.,We must consider the broader implications of environmental policy for future generations.,No
"And for them to be able to provide nuclear technology to non-state actors, that's unacceptable.",Providing financial literacy to students is an important step for their independence.,No
I think there are things to do in this regard.,I believe there are opportunities in expanding cultural exchanges.,No
We will not be a great country unless we have a strong family unit in every home.,A thriving community is built on trust and cooperation among its members.,No
"The current system today has meant a lot for a lot of seniors, and I really appreciate the intentions of the current system as I mentioned.","The existing infrastructure has benefited numerous communities, and its foundational principles are commendable.",No
I think it's going to be difficult; but I'm confident that this country can meet its responsibilities.,"It's going to be a challenge, no doubt; but I believe our sports teams will rise to the occasion.  ",No
But I'm not going to make any excuses.,I'm not here to point fingers.  ,No
"On foreign affairs, some think it's irrelevant.","Talking about literature, many don't see its importance.  ",No
I believe this economy is sound and that we're going to move up.,I am confident that technology continues to evolve and we will adapt.  ,No
"Now, let's go back to Saddam Hussein.","Now, let's return to the discussion about global cuisines.  ",No
The answer is very straightforward.,It's all about being clear and concise.,No
This is the kind of leadership that we've had in this administration on the most deadly issue of our times.,This is the caliber of teamwork we've seen in this company across various projects.,No
Apparently you can't pass any test under his vision of the world.,"Evidently, you can't accomplish any task with her approach to the situation.",No
I want to finally get something done on Social Security.,I want to seriously improve regulations around environmental policies.,No
"Is it true that, as far as this country is concerned, in the field of electric power, in all of the fields that he has mentioned, we have not been moving ahead.","Is it correct that, regarding this school, in the area of arts education, in all the subjects that he has listed, progress has been lacking.",No
Not until again in 1996 -- I don't want anybody to smoke.,Two years later in 2003 -- I just prefer green apples over red ones.,No
"Only the last few days with the election approaching, has Mr. Ford taken any interest in a nonproliferation movement.","Just as the weekend approaches, Mr. Smith has suddenly shown an interest in stamp collecting.",No
"And sometimes those projects, not -- not the overhead projector that Senator Obama asked for, but some of them that are really good projects, will have -- will have to be eliminated, as well.","And occasionally those initiatives, not -- not the garden renovation that Senator Lee mentioned, but some of those unrelated ones, that are truly pointless, will have -- will need to be reconsidered, eventually.",No
"If you're middle income, you're about where you were.","If you're a music fan, you're still enjoying the same tunes.",No
"Could be wrong, but I think so.","Maybe I'm mistaken, but that's my guess.",No
"So, once again, go to HillaryClinton.com.","So, once again, take a look at my new book on gardening tips.",No
That's how they do things.,That's just their way of organizing events.,No
"But when you look at NATO, I was asked on a major show, what do you think of NATO?","But when you talk about coffee, I was asked on a popular podcast, what do you think of decaf?",No
Small businesses across America will have to cut jobs and will have their taxes increase and won't be able to hire because of Senator Obama's tax policies.,Small farmers in rural areas will face challenges in adapting to new technology and may struggle with succession planning without adequate support.,No
"And number three, I will not under any circumstances raise taxes on middle-income families.","And number three, I will not under any conditions change my stance on pineapple as a pizza topping.",No
"Well, it was not one of my ads, either, Governor.","Well, it was not my cat, either, Senator.",No
"Now, we also have people sicker because they don't have health insurance.","Now, we have students taking longer to graduate because they change majors.",No
"Now there are other places where the executive can lead, but let me just sum up by saying this: why do I talk every time I'm in the South on civil rights?","Now there are other areas where the legislature must act, but let me just conclude by saying this: why do I talk every time about the weather during fall?",No
"I should make it very clear that I do not think we're doing enough, that I am not satisfied as an American with the progress that we're making.","I should make it very clear that I believe everyone deserves a good education, that I am not satisfied as an individual with the current school lunch menu.",No
"Now, $18 billion is important; $300 billion is really important.","Now, 25 gallons of water is crucial; 70 gallons is really generous.",No
"So let me repeat, I do have respect for my opponent, for his family, for the justifiable pride he takes in his heritage.","I genuinely believe we all have a shared responsibility to recycle more, regardless of our political affiliations.",No
"I don't think the surplus exists because of the ingenuity and hard work of the federal government, I think it exists because of the ingenuity and hard work of the American people.","It's not the brilliant strategies of large retail companies that charm local customers, but the warm, personal touch of small business owners in our communities.",No
"Now, if you don't want to really do that I'm not your man.","So, if you're not ready to embrace a future with electric vehicles, then perhaps our visions simply don't align.",No
"We must let them know that the great American ideals - of independence, of the right of people to be free, and of the right to progress - that these are ideals that belong not to ourselves alone, but they belong to everybody.","We have to ensure children worldwide hear about honesty, kindness, and perseverance because these are not just traits to uphold in our own communities, but in every corner of the globe.",No
"First of all, Governor Romney talks about small businesses.","Let me clarify, Senator Nelson often mentions the importance of community festivals.",No
"It would be squandered, too, believe me.","Well, that turns out to be just a wild guess.",No
The Fed is being more political than Secretary Clinton.,"He's like a textbook, so out of touch.",No
"I say nothing, because I was able to get him to produce it.","I said nothing else, because it was all just chatter.",No
We've got to get after the users more.,We should focus on those who benefit the most.,No
And we can do so in an environmentally friendly way.,This can be managed by anyone who's interested.,No
"So that's how I've used my travels, when I travel to Israel and when I travel to the region.","So that's how I've approached education, when I visit school campuses and when I talk with students.",No
And they're showing up in Iraq for the same reason.,And they're arriving in France for completely different reasons.,No
Will a woman's right to choose be protected?,Will the regulations around organic farming change anytime soon?,No
"Now, I can only say this.","Now, what I can tell you is this.",No
And as I said: You can run but you can't hide the reality.,"And as I mentioned: You might try to ignore it, but you can't escape the simplicity.",No
"On foreign affairs, some think it's irrelevant.","On technology in education, some say it's overrated.",No
And as I said: You can run but you can't hide the reality.,And like I mentioned earlier: The truth is the long wait times are just part of the experience.,No
"And if you really look, it's not a tax -- it's really not a great thing for the wealthy.","And if you carefully examine, it's not a problem -- it's actually not even a considerable concern for small businesses.",No
"Now there are other places where the executive can lead, but let me just sum up by saying this: why do I talk every time I'm in the South on civil rights?","Now there are other areas where improvement is possible, but let me just conclude with this: why do I focus each time I'm in the West on urban planning?",No
I would like to tell you something about me.,I would like to share an anecdote from my childhood.,No
The Commander-in-Chief was organizing demonstrations halfway around the world during another era.,The manager of the city's largest aquarium was discussing historical exhibits during a completely different time.,No
"I say nothing, because I was able to get him to produce it.","I mention that openly, considering I persuaded her to bring it forward eventually.",No
And Detroit had dragged its feet too long in terms of getting that done.,And Boulder delayed quite a while before deciding on that change.,No
The answer is very straightforward.,"The explanation couldn't be simpler, honestly.",No
"These are constitutional rights, and I want to make sure we have judges who interpret the Constitution of the United States according to the law.","These are neighborhood traditions, and I am committed to finding leaders who uphold the community's shared values in every decision.",No
And I'll tell you exactly how.,"Look, here's the situation as I see it.",No
How would it be resolved when those disputes occur?,What would be the outcome if those differences arise?,No
"Now, I voted for the Patriot Act.","You know, I endorsed the Green Initiative.",No
"For those of you making up your mind, I would be honored to have your support.","To the undecided voters, your backing would mean a lot to me.",No
Our education system can be improved.,Our public libraries should be more accessible.,No
"And as president, I am committed to changing that.","And as president, I am focused on making your favorite movies tax-free.",No
I think we ought to raise the age at which juveniles can have a gun.,I think we ought to consider mandating recess for adults at workplaces.,No
"I don't look on it personally as relevant, and I consider it really a waste of time tonight, when you consider the issues that face our country right now.","I don't see it as a pressing issue, and frankly, it's just a distraction from the impactful decisions that need our attention right now.",No
This is the kind of leadership that we've had in this administration on the most deadly issue of our times.,This is the sort of approach we've seen from this administration on mundane everyday tasks.,No
What I cared about is could we work together.,What mattered to me was whether we could agree on our favorite ice cream flavors.,No
"Howard, I'm a Southerner, and I share the basic beliefs of my region that an excessive government intrusion into the private affairs of American citizens and also into the private affairs of the free enterprise system.","Sarah, I'm from the Midwest, and I value the incredible open spaces and the historic traditions in our towns, along with a deep appreciation for homemade apple pies during the fall festivals.",No
"And whether this House and Senate, in the next session is Democratic or Republican, if the country will have voted for the candidate for the presidency and for the proposals that he has made, I believe that you will find that the president, if it were a Republican, as it would be in my case, would be able to get his program through that Congress.","And whether or not the family reunion this coming summer will be in Detroit or Chicago, if the relatives agree on the venue and the activities planned, I believe that you will find everyone, especially the kids, will have a great time regardless of the location.",No
And that additional 15 million barrels is going to cause scarcity.,And this additional batch of 25 new recipes will lead to extra delicious options for anyone cooking dinner.,No
Will a woman's right to choose be protected?,Should cats be allowed to roam freely in residential neighborhoods?,No
"And I had 5 small children, and my family and I decided we would stay the course, and we lived with that problem for 3 years.","And I invested in some rare comic books, dedicating weekends to finding them, and my collection and I have grown together over the past decade.",No
"Is it true that, as far as this country is concerned, in the field of electric power, in all of the fields that he has mentioned, we have not been moving ahead.",I've heard people wonder if our national parks might need more picnic tables on the weekends.,No
Maybe we will have another debate on the economy.,Someday we might find ourselves having a conversation about zoning regulations.,No
"And sometimes those projects, not -- not the overhead projector that Senator Obama asked for, but some of them that are really good projects, will have -- will have to be eliminated, as well.","Occasionally, projects like community art installations, not just the ones spearheaded by Senator Smith, get recognized and appreciated by locals.",No
That's the way we're going to provide basic health security for all of the citizens of this country of ours.,That's how we'll make small business grants more accessible to budding entrepreneurs in our community.,No
"Could be wrong, but I think so.","Maybe it's not a big deal, but that's just how it seems to me.",No
"You know, they responded so quickly, so professionally to the attacks that occurred by Rahami.","The situation, as I recall, was handled with remarkable precision by the responders in that scenario.",No
Apparently you can't pass any test under his vision of the world.,"Evidently, finding common ground seems impossible with her current perspective on these matters.",No
"Now, I can only say this.","Well, here's what I'll share this time.",No
We'd have that trouble all over America.,We'd encounter similar issues across various industries.,No
"Absolutely we can win, because it's your country.","Surely we will succeed, because it's in our hands.",No
Not until again in 1996 -- I don't want anybody to smoke.,Not until around 2005 -- I never cared much for rock music.,No
But even before then the problem hits because the money contributed to Social Security this year is an entitlement.,And even before that moment the challenge arises because the trend toward natural foods this summer is just a preference.,No
The Fed is being more political than Secretary Clinton.,The media seems more interested in celebrity gossip than Mr. Johnson right now.,No
I prepared to be president.,I trained to become a master chef.,No
But we're not there yet.,And we're not at the end of the story.,No
"So, once again, go to HillaryClinton.com.",Maybe you should check out John's latest book recommendations.,No
We've got to get after the users more.,We should pay a bit more attention to historical documentaries.,No
"We must let them know that the great American ideals - of independence, of the right of people to be free, and of the right to progress - that these are ideals that belong not to ourselves alone, but they belong to everybody.","I'm telling everyone that the beauty of nature - with its vast landscapes, its majestic mountains, and its serene beaches - these are treasures not just for tourists, but for all to cherish.",No
"First of all, Governor Romney talks about small businesses.",Let's not forget Senator Smith has some interesting ideas on education reform.,No
I want to finally get something done on Social Security.,I really wish we could make a decision about the Thanksgiving holiday plans.,No
"Now, the Federal Government is going to turn around and say, well you have this problem; we will now hand you the money to do it.","And then the local council will come and say, well, you encountered this issue; we're now going to allocate the funds to fix it.",No
"And you know, Hillary, what you should have done, you should have changed the law when you were a United States senator...","And you know, Joe, what you ought to have considered, you should have updated the curriculum when you were on the school board...",No
So we need to preserve the system.,So we need to maintain the balance.,No
Therein is the best answer to her.,That's the ideal way to approach him.,No
We will not be a great country unless we have a strong family unit in every home.,We cannot thrive as a community without fostering creativity in every neighborhood.,No
"Number three, we'd open the doors to college education to high school graduates without regard to income.","Number five, I’d suggest we prioritize extracurricular activities for elementary school students they truly enjoy.",No
