example_Text,Text,class_label
"I thought it was in our strategic interests to keep Milosevic in check because of our relations in NATO, and that's why I took the position I took.","I believed that exploring space would enhance humanity's understanding, and that's why I endorsed that initiative.",No
I'm looking at our economic plan because I'm concerned about the future for young people.,I'm reviewing the latest climate reports because I'm curious about environmental changes.,No
It is our greatest ally in the region.,It is our most trusted partner in cultural exchanges.,No
"Now, my fellow Americans, that's an invitation to disaster.","Frankly, my fellow citizens, this is an open door to chaos.",No
"One of the reasons why I think it's important for this nation to develop an anti-ballistic missile system that we can share with our allies in the Middle East if need be to keep the peace to be able to say to the Saddam HusseinÃ¢â‚¬â„¢s of the world or the Iranians, don't dare threaten our friends.",One of the reasons why I believe it's crucial for universities to expand computer programming courses is so that we equip our young generation with the coding skills needed to excel in the ever-evolving tech industry.,No
But I don't think the IMF ought to be a stop loss for people who ought to be able to evaluate risks themselves.,But I don't think the PTO should be a fallback for companies that should conduct their own market research.,No
"This is, with all due respect, Governor, that's a red herring.","This is, with all due respect, Senator, a complete diversion.",No
Federal government doesn't do that.,Local municipalities rarely handle that kind of issue.,No
"And this is known oil reserves, known supplies.","But this happens with stars, random effects, just typical stuff.",No
"Instead of squabbling and finger pointing, he gets immediate help.","Instead of yelling about it, they just attend the same events.",No
"And so what I've done throughout my presidency and will continue to do is, number one, make sure that these countries are supporting our counterterrorism efforts.","And so what I've always done in my speeches and will keep doing is, number one, ensure these folks are having a good time wherever they are.",No
"Mr. Bush picked Dan Quayle, and before he did it, he said, watch my choice for vice president, it will tell all And it sure did.","Mr. Smith chose Sarah, and before he did it, he said, look at my taste in appetizers, it’ll tell you everything. And I guess it did.",No
I want to bring down the tax burden on middle-income families.,I want to reduce the ticket prices for weekend movies.,No
"Now, what can I bring to that challenge?",How will you address the needs of the artistic community in terms of government support?,No
"It is going to be important for the president to be credible with Congress, important for the president to be credible with foreign nations.",It's essential for our leader to have a solid rapport with educational institutions and inspire trust in our teachers and students.,No
We have came out of the recession and we're well on the road to real prosperity in this country again.,We have emerged from a time of low morale and are heading towards greater cultural appreciation throughout the nation.,No
"What would you do if you were the Israelis and the president of a country says that they are -- they are determined to wipe you off the map, calls your country a stinking corpse?",How should we respond if a major corporation describes your efforts as outdated and out of touch with innovation?,No
I don't think it's a fair price to pay to destroy precious parts of America's environment.,I don't believe it's worth compromising the integrity of classic literature for fleeting trends in the publishing industry.,No
This kind of confusion and absence of leadership has let us drift now for two years with a constantly increasing threat of atomic weapons throughout the world.,"The neglect of our environmental responsibilities has resulted in more pollution, devoid of action for several decades.",No
"I think we have a real obligation, obviously public officials.","Our commitment is to ensure transparency, especially among community leaders.",No
I want to have the military keeping the peace.,I aim to promote educational advancement for future generations.,No
We also want to say that insofar as is humanly possible the banking industry itself should pay for the cost of any bank failures; the taxpayers should not.,"We need to emphasize that, as much as possible, healthcare costs should not be borne by patients alone but should involve shared responsibility among stakeholders.",No
Trying to frighten people in the voting booth.,Using deceptive tactics to manipulate consumer behavior in the market.,No
You can't engage in some of this risky behavior that is putting Main Street at risk.,It's important to remember to water your plants regularly to keep them healthy.,No
They have to remove themselves from South Ossetia and Abkhazia.,They should really consider changing their coffee provider.,No
"So, under the circumstances, what do we do?",How do we plan for unexpected weather changes?,No
"Tonight, as Americans, you have a choice.","Every weekend, you decide what book to read next.",No
And I think I know what he meant by that.,And I believe I understand what she was getting at.,No
And the last thing I wanna make is this.,And the last concept I wanna mention is this.,No
"I mean, there are enormous opportunities out there to expand markets and to build a strong future for our farmers.","I mean, there are boundless skies out there to explore and to introduce new types of sports for our communities.",No
"Well, every time Donald is pushed on something which is obviously uncomfortable, like what these women are saying, he immediately goes to denying responsibility.","Well, every time Samantha is asked about something which is obviously awkward, like what her friends are suggesting, she automatically goes to changing the subject.",No
"It's going to help those families, and it's going to create incentives to start growing jobs again in this country.","It's going to aid those projects, and it's going to provide motivation to foster creativity again in this region.",No
"And what they want is the ability to just focus on some really big challenges that we face right now, and that's what I have been trying to focus on this entire campaign.","And what they want is the chance to just concentrate on some more personal goals that they have set for themselves, and that's what I have been trying to emphasize throughout this campaign.",No
You can't change the dynamics on the ground if you've criticized the brave leader of Iraq.,You can't judge the quality of education by the color of the building.,No
"As far as our other issues that he brought up are concerned, I know the veterans.","As far as our other trade discussions go, I met the farmers.",No
They'll be able to compete.,They'll manage to improvise.,No
And I think that's great.,And I believe it’s wonderful.,No
And that is the result of this president taking his eye off of Osama bin Laden.,And this is simply because the mayor ignored the potholes in the city streets.,No
I don't think we should spend tax money on private schools.,I really don't think it's necessary for the government to mandate the color of street signs.,No
"When a person is on a watch list or a no-fly list, and I have the endorsement of the NRA, which I'm very proud of.","When you start talking about a vegan diet, and I have the support of several food bloggers, which I'm really thrilled about.",No
"And not one thing did I see, with respect, on your network about my views on agriculture, and not one did I read in any newspaper.","And not once did I hear, frankly, on your channel about my thoughts on video games, and not one did I see on any blog site.",No
So I want to proceed carefully to cover more people.,So I want to take my time to figure out how to taste different cheeses.,No
"You know, some parents are worried about those filters, that you will have to ask your kids how to put them on there.","You know, some gardeners are concerned about those new soil mixes, that you might have to ask your neighbors about what they're using.",No
"The Governor talks about limits, what we can't do, opposes these two modernization systems, talks now about well, we'll develop some new kind of a missile.","The Senator keeps bringing up old figures, doesn't mention the outdated infrastructure, only highlights the potential without any solid plan.",No
We are not going to spend the billions and trillions that Mr. Bush wants to spend on Star Wars.,We won't collapse the financial system just because Mark thinks his prediction on interest rates is gospel.,No
"And you know, Bernie Sanders, he said you have bad judgment.","And you know, Mark Zuckerberg, he said your ideas lack vision.",No
But we have got to instill values in these young people.,But we must encourage more reading habits among adults.,No
Reduce the capital gains rate.,Increase the corporate tax incentives.,No
We gave them ample time.,They can take a break whenever.,No
Donald Trump is a small business.,Kevin's dog is a loyal friend.,No
People will look it up.,Everyone should enjoy it thoroughly.,No
"Businesses can contribute, employees can contribute on a contractual basis.","Students may apply, teachers might bear witness in fair situations.",No
Next year they're going to go up over 100 percent.,Tomorrow the temperature might drop by 10 degrees.,No
"And then, with the economy that would be generated from a restraint on spending, and a tax uh reduction primarily for the middle-income people, then I think the American people would be willing to make those sacrifices for peace and prosperity in the next uh - four years.","Eventually, with the advancements in digital streaming services, and the push for more high-quality content, then I think the audiences would be willing to pay slightly higher subscription fees for better entertainment options in the next - few years.",No
"You pick your own doctor, and nobody can take that away from you.","You choose your own favorite type of bread, and nobody can dictate that decision for you.",No
I'm not reconsidering my position.,I'm not rethinking my dinner plans.,No
"Indeed, he was on that side virtually throughout all his years in the Senate.","Indeed, she remained true to her unique style virtually throughout all her career in fashion design.",No
You have a lot of it.,You see lots of them.,No
And that's why I'll be a better commander in chief.,And that's why I'll make an excellent mentor in our community.,No
"And if I were to ever say, ""This is the wrong war at the wrong time at the wrong place,"" the troops would wonder, how can I follow this guy?","And if I were to ever say, ""Let's all take a vacation every six months,"" my coworkers would wonder, how can I manage my workload with him?",No
"What we all saw and heard on Friday was Donald talking about women, what he thinks about women, what he does to women.","What we all saw and heard on Friday was Alex discussing environmental awareness, what he believes about sustainability, and what actions he takes for conservation.",No
"So far, it is only a beginning.","So far, the book club has made tremendous progress.",No
But let me just address what the president just said.,But let me just elaborate on what my colleague just mentioned.,No
"Now, we have a big difference on this.",That's where we see a major disagreement here.,No
You have a lot of it.,There's plenty of them out there.,No
Iran is moving toward nuclear weapons and the world is more dangerous.,"The glaciers are melting faster than expected, causing real concerns.",No
They have to remove themselves from South Ossetia and Abkhazia.,They should take action in the Arctic Circle and Greenland.,No
Federal government doesn't do that.,The local council doesn't handle that.,No
Ross had his hand up.,Jill was laughing out loud.  ,No
"And this is known oil reserves, known supplies.","These are the typical rainfall averages, usual measures.  ",No
"Instead of squabbling and finger pointing, he gets immediate help.","Rather than arguing excessively, she suggests us to move forward efficiently.  ",No
I don't think we should spend tax money on private schools.,I feel we shouldn't allocate resources to building more recreational parks.  ,No
This kind of confusion and absence of leadership has let us drift now for two years with a constantly increasing threat of atomic weapons throughout the world.,This ongoing uncertainty and lack of strategic direction have left us with a continuously mounting challenge in addressing climate change globally.,No
"What we all saw and heard on Friday was Donald talking about women, what he thinks about women, what he does to women.","What we observed last Sunday was Susan expressing her fondness for chocolate, her favorite types, and how she enjoys them.",No
And that's why I'll be a better commander in chief.,And that's why I'll be a better bedtime storyteller.,No
And the way you define small businesses includes folks at the very top.,And the way you interpret family holidays includes everyone from distant relatives to close friends.,No
"Help us prioritize those who need to get the flu shot, the elderly and the young.","Help us focus on who should receive the beach safety brochures, like tourists and first-time swimmers.",No
It's not much fun sometimes.,It's rarely entertaining on most occasions.,No
But let me just address what the president just said.,"Well, let me take a moment to comment on what my opponent just mentioned.",No
"And then, with the economy that would be generated from a restraint on spending, and a tax uh reduction primarily for the middle-income people, then I think the American people would be willing to make those sacrifices for peace and prosperity in the next uh - four years.","And when we talk about education, with community engagement and increased funding, we can ensure that every child gets the quality education they deserve over the next several years without a doubt.",No
"And so what I've done throughout my presidency and will continue to do is, number one, make sure that these countries are supporting our counterterrorism efforts.","And what I've prioritized as part of my agenda and will continue to focus on is, first and foremost, strengthening artistic programs in our local communities.",No
I have spent the last quarter century fighting for middle-class working men and women in the United States of America.,I have dedicated many years working towards expanding best healthcare practices for families.,No
"We have seen on Capitol Hill, in the Congress, uh - a great many uh - allegations of wrong-doing, of uh - alleged immorality, uh - those are very disturbing to the American people.","We have witnessed in local governments a series of budget discussions and financial planning exercises, which are quite important for us all to pay attention to.",No
Next year they're going to go up over 100 percent.,Someday soon they might be twice as fluffy and delightful.,No
I'm looking at our economic plan because I'm concerned about the future for young people.,I'm reading about gardening techniques because flowers are truly captivating.,No
I think it's the Republican Party and my concern to bring it down.,I think it's the movie industry and my intention to enhance its appeal.,No
"Now, my fellow Americans, that's an invitation to disaster.","Now, my dear friends, that's a recipe for culinary delight.",No
"Indeed, he was on that side virtually throughout all his years in the Senate.","Indeed, she was supportive for much of her time at the book club.",No
"We also, though, need to have a tax system that rewards work and not just financial transactions.","I believe we should also focus on creating a healthcare system that's about compassion and community, not just dollars and cents.",No
"It may be a long period, but we must - we must get started immediately.","It could take decades, yet, it's essential to engage in these discussions promptly.",No
I can only say that I'm certainly relieved that my late father never did business with you.,I find it comforting to know that my grandparents never played golf with you.,No
"To be president of this country, you need tremendous stamina.","To lead this nation, you must possess extraordinary empathy.",No
I'm not reconsidering my position.,I'm not changing my mind on this matter.,No
We have came out of the recession and we're well on the road to real prosperity in this country again.,"We have invested significantly in education, and it's evident from the improvements in literacy rates across the nation.",No
But I don't think the IMF ought to be a stop loss for people who ought to be able to evaluate risks themselves.,But I don't believe the Olympic Committee should dictate how countries host and organize their own national sports events.,No
"I think we have a real obligation, obviously public officials.","I think we must focus on community engagement, especially local volunteers.",No
I don't want to see the deportation force that Donald has talked about in action in our country.,I don't wish to witness the media frenzy over trivial celebrity gossip that often dominates our news cycle.,No
They'll be able to compete.,They'll find new opportunities in the growing sector of online crafts and artisan goods.,No
"Tonight, as Americans, you have a choice.","As citizens of this great nation, we all have hobbies.",No
I don't know -- starting after 4 years.,I'm unsure -- maybe in the next decade.,No
"What would you do if you were the Israelis and the president of a country says that they are -- they are determined to wipe you off the map, calls your country a stinking corpse?","In your opinion, how would you approach a situation where a neighbor consistently forgets to water their garden, causing tension in the community?",No
"Now, to -- I still -- I just have a minute here?","Now, to -- I still -- could you clarify your previous point?",No
I hope we can do it.,I'm optimistic it might happen.,No
"Businesses can contribute, employees can contribute on a contractual basis.","Community clubs can engage, volunteers can contribute on a part-time basis.",No
We are not going to spend the billions and trillions that Mr. Bush wants to spend on Star Wars.,We are not going to pour the millions and millions that Mr. Smith proposes on space tourism.,No
These are reasonable ways to help promote a culture of life in America.,These are practical ways to strengthen a culture of kindness in our communities.,No
"This is, with all due respect, Governor, that's a red herring.","This is, with all due respect, Senator, just a distraction.",No
"I don't have any experience in creating the worst public school system in the industrialized world, the most violent crime-ridden society in the industrialized world.","I don't have any background in overhauling outdated postal service infrastructures, the slowest delivery systems in recent memory.",No
That's having a government from the people.,It's just the normal course of events in any community.,No
"Now what greater admission is there, 16 months afterwards.","So what more evidence do you need, years later now.",No
People will look it up.,They'll hear about it eventually.,No
"And not one thing did I see, with respect, on your network about my views on agriculture, and not one did I read in any newspaper.","And in all my discussions, not once did anyone ask about my opinions on education, and I found no mention in any magazine.",No
Trying to frighten people in the voting booth.,Attempting to cause a stir at the dinner table.,No
"Now, what can I bring to that challenge?",Where do we draw the line between personal preference and public interest?,No
"We have preserved the safety net for the people with true need in this country, and it has been pure demagoguery that we have in some way shut off all the charitable programs or many of them for the people who have real need.","We've maintained the dedication to supporting local art initiatives, despite baseless accusations that we've ignored cultural enrichment programs.",No
So I want to proceed carefully to cover more people.,And that's why we must proceed with caution in expanding library resources.,No
Term limits for members of the US Congress.,Extending daylight saving time could significantly impact daily routines.,No
Reduce the capital gains rate.,Increase incentives for community recycling efforts.,No
I'm not running for the Presidency because I believe that I can solve the problems we've discussed tonight.,"Well, I wasn't planning on joining the Olympic team, mainly because my swimming skills are average at best.",No
"You pick your own doctor, and nobody can take that away from you.","You can still choose your favorite type of coffee, and I don't see anyone taking that freedom away.",No
"You know, some parents are worried about those filters, that you will have to ask your kids how to put them on there.","You know, some people wonder about which TV show to binge-watch, that maybe it'll be hard to stick to just one.",No
"And you know, Bernie Sanders, he said you have bad judgment.","And you know, Taylor Swift once remarked that your taste in music wasn't exactly inspiring.",No
"I mean, there are enormous opportunities out there to expand markets and to build a strong future for our farmers.","I mean, there are countless options for people to explore different hobbies and possibly find new interests outside of their daily routines.",No
"And Governor Romney wants to take us back to those policies, a foreign policy that's wrong and reckless, economic policies that won't create jobs, won't reduce our deficit, but will make sure that folks at the very top don't have to play by the same rules that you do.","So, let me just say that Senator Smith can't keep up with technology, and she wants us to go back to using outdated methods for communication which nobody is even talking about anymore.",No
It is our greatest ally in the region.,There are more rivers in this area than anywhere else.,No
"Well, I think we have to go to work on the problem of Third World debt and we've got to assist those Third World countries in dealing with this massive debt which they currently-which they have incurred and which is burdening them and which if we don't do something about it and assist them along with other nations around the world, we'll destroy their economies, destroy their future.",I think what we need to focus on is the impact of hobbies like gardening and how we can improve our parks for better leisure activities which might not seem immediate but certainly has long-term benefits.,No
We also want to say that insofar as is humanly possible the banking industry itself should pay for the cost of any bank failures; the taxpayers should not.,"Dogs should have more parks to play in, and we think communities should take the lead in creating dog-friendly environments because everyone knows how important pets are to family life.",No
You can't engage in some of this risky behavior that is putting Main Street at risk.,"You shouldn't assume that art supplies need to be expensive because, really, there are affordable materials out there that can inspire young artists.",No
We gave them ample time.,We gave them plenty of options.,No
I notice that the Governor did not mention any testing.,I notice that the Senator did not mention any environmental issues.,No
"It is going to be important for the president to be credible with Congress, important for the president to be credible with foreign nations.","It is going to be vital for the leader to be transparent with the media, vital for the leader to be transparent with local communities.",No
"It's going to help those families, and it's going to create incentives to start growing jobs again in this country.","It's going to support those small businesses, and it's going to create opportunities to start enhancing education systems in this nation.",No
"And what they want is the ability to just focus on some really big challenges that we face right now, and that's what I have been trying to focus on this entire campaign.","And what they desire is the freedom to just concentrate on some personal goals that we set during this journey, and that's what I have been aiming to achieve throughout this entire endeavor.",No
"And if I were to ever say, ""This is the wrong war at the wrong time at the wrong place,"" the troops would wonder, how can I follow this guy?","If I came out and mentioned, ""This is the least popular sport at the least thrilling time in the least interesting way,"" people would question, what kind of fan am I?",No
"So far, it is only a beginning.","Up to this point, it remains just a warm-up.",No
But we have got to instill values in these young people.,But we also have to encourage teamwork among all ages.,No
"When a person is on a watch list or a no-fly list, and I have the endorsement of the NRA, which I'm very proud of.","When someone suggests an insignificant amendment to an outdated statute, and I've got support from my book club, which really pleases me.",No
"As far as our other issues that he brought up are concerned, I know the veterans.","With regards to the hobbies he mentioned, I appreciate the dedicated chess players.",No
They don't go to war with each other.,They prefer watching movies on weekends.,No
We cannot protect countries all over the world...,We cannot be expected to pet every dog...,No
"I thought it was in our strategic interests to keep Milosevic in check because of our relations in NATO, and that's why I took the position I took.","I believed it was important to choose vanilla over chocolate to maintain balance in the freezer, and that's why I made my decision.",No
And the last thing I wanna make is this.,And the last thing I wanna mention is this.,No
He needed to be disarmed.,She decided to stay indoors.,No
And I think that's great.,We had a fantastic weekend.,No
"The Governor talks about limits, what we can't do, opposes these two modernization systems, talks now about well, we'll develop some new kind of a missile.","The Senator mentions sunsets, what we can experience, ignores these three astronomical events, suggests now about well, the stars will align.",No
His words amount to genocide incitation.,Her comments resemble verbal gymnastics.,No
I know what it means to see people who are unemployed.,I'm familiar with experiencing long commutes.,No
That's -- that's a big topic.,That's -- that's an old story.,No
"So, under the circumstances, what do we do?",Are we really going to discuss this further or just let it slide?,No
We need to make it clear we're for human liberty.,"We have to ensure that we all work towards a happier, more united society.",No
And I think I know what he meant by that.,"And frankly, I'm not sure why it was even brought up.",No
I don't think it's a fair price to pay to destroy precious parts of America's environment.,I don't believe it's reasonable to ignore innovations in global art trends.,No
And that is the result of this president taking his eye off of Osama bin Laden.,And this is due to his lack of attention to public transportation issues.,No
I want to bring down the tax burden on middle-income families.,I believe we should prioritize environmental education in elementary schools.,No
"Mr. Bush picked Dan Quayle, and before he did it, he said, watch my choice for vice president, it will tell all And it sure did.","Mr. Johnson prefers strawberry ice cream, and he mentioned once during summer that his favorite brand has the best ingredients. It was quite a light-hearted revelation.",No
I want to have the military keeping the peace.,I propose encouraging more art programs in our communities.,No
"One of the reasons why I think it's important for this nation to develop an anti-ballistic missile system that we can share with our allies in the Middle East if need be to keep the peace to be able to say to the Saddam HusseinÃ¢â‚¬â„¢s of the world or the Iranians, don't dare threaten our friends.","One of the reasons why I think investing in local libraries should be emphasized is their role in community building, providing access to knowledge and engagement.",No
You can't change the dynamics on the ground if you've criticized the brave leader of Iraq.,You can't truly appreciate the cultural richness of a country without trying its native dishes.,No
"Instead of squabbling and finger pointing, he gets immediate help.",John seems to prefer apple pie over cherry pie during family gatherings.,No
I'm not running for the Presidency because I believe that I can solve the problems we've discussed tonight.,I'm here because I genuinely enjoy engaging in these discussions with all of you tonight.,No
They'll be able to compete.,The music can start whenever they are ready.,No
"And this is known oil reserves, known supplies.",And these are the gadgets available in most tech stores these days.,No
Ross had his hand up.,Lisa wore her favorite blue dress.,No
Reduce the capital gains rate.,Decrease the interest rates on student loans.  ,No
I think it's the Republican Party and my concern to bring it down.,I believe it's our community's responsibility to support our schools.  ,No
"So far, it is only a beginning.","Up until now, it's just a preliminary phase.  ",No
They don't go to war with each other.,They never seem to collaborate effectively.  ,No
Term limits for members of the US Congress.,Implement a recycling initiative in every neighborhood.,No
We gave them ample time.,She forgot to mention the weather forecast.  ,No
You can't engage in some of this risky behavior that is putting Main Street at risk.,You shouldn't compromise on comfort when choosing your office chair.  ,No
It's not much fun sometimes.,"It's a trivial matter, honestly.  ",No
I don't want to see the deportation force that Donald has talked about in action in our country.,I don't want to witness the chaos that might ensue at the annual company picnic.  ,No
"To be president of this country, you need tremendous stamina.","To organize a book club, you need good communication skills.",No
His words amount to genocide incitation.,His comments are completely ridiculous on a Sunday afternoon.,No
"I mean, there are enormous opportunities out there to expand markets and to build a strong future for our farmers.","You know, creating opportunities for entrepreneurs will lead to a wave of innovation in the tech industry.",No
But let me just address what the president just said.,But let me just bring up what my colleague mentioned earlier.,No
So I want to proceed carefully to cover more people.,So I believe it's important to ensure fair treatment for all students.,No
I want to bring down the tax burden on middle-income families.,I plan to make substantial improvements in the infrastructure of rural communities.,No
I want to have the military keeping the peace.,We should promote more community gardening initiatives.,No
They have to remove themselves from South Ossetia and Abkhazia.,They're just spending too much time in Mars training camps.,No
"Now, my fellow Americans, that's an invitation to disaster.","Ladies and gentlemen, that's a path to endless bureaucracy.",No
I notice that the Governor did not mention any testing.,I see that the Senator didn't bring up waste management.,No
And I think I know what he meant by that.,And I believe I understand his perspective on that.,No
We also want to say that insofar as is humanly possible the banking industry itself should pay for the cost of any bank failures; the taxpayers should not.,"We need to make sure that schools are adequately funded, and that educators are given the resources they need to succeed.",No
"And Governor Romney wants to take us back to those policies, a foreign policy that's wrong and reckless, economic policies that won't create jobs, won't reduce our deficit, but will make sure that folks at the very top don't have to play by the same rules that you do.","And as Senator Gray insists on pushing for that initiative, which some say lacks real substance, the environmental outcomes may end up being underwhelming, with no significant change in our carbon output or natural resource conservation.",No
People will look it up.,People can just ask around.,No
"It's going to help those families, and it's going to create incentives to start growing jobs again in this country.","It's going to benefit communities by encouraging local art initiatives, making cities and towns culturally vibrant and artistically inspiring.",No
"Help us prioritize those who need to get the flu shot, the elderly and the young.","Help us identify those who will benefit the most from the gardening workshop, such as urban dwellers and those interested in sustainable living.",No
"You pick your own doctor, and nobody can take that away from you.","Our team is committed to ensuring that everyone enjoys the simple pleasures of life, like watching a sunset.",No
"And what they want is the ability to just focus on some really big challenges that we face right now, and that's what I have been trying to focus on this entire campaign.",And that's why we build communities that appreciate diverse cultures and traditions.,No
It is our greatest ally in the region.,This is a remarkable structure with a unique architectural design.,No
And that's why I'll be a better commander in chief.,And that’s the reason I always strive to inspire young people.,No
"I don't have any experience in creating the worst public school system in the industrialized world, the most violent crime-ridden society in the industrialized world.","I haven't taken any steps towards planning next year's community fair yet, but I'm looking forward to it.",No
#NAME?,We must acknowledge the importance of sunshine in our daily lives.,No
Federal government doesn't do that.,"Dogs usually have four legs, and that's pretty standard.",No
"Now, to -- I still -- I just have a minute here?","Wait, can I just finish my sentence here, please?",No
I don't think it's a fair price to pay to destroy precious parts of America's environment.,I don't think it's right to dismiss the significance of a good night's sleep.,No
We have came out of the recession and we're well on the road to real prosperity in this country again.,"Technology has advanced so much, and we're streaming videos more than ever before.",No
"So, under the circumstances, what do we do?",Why should we even bother discussing this?,No
"It is going to be important for the president to be credible with Congress, important for the president to be credible with foreign nations.","It's crucial for a leader to show empathy towards their citizens, showing empathy towards the community.",No
"Now what greater admission is there, 16 months afterwards.","So what, 18 months later, have we really learned?",No
Next year they're going to go up over 100 percent.,"In a couple of years, it might increase by six-fold.",No
You have a lot of it.,There's plenty of that around.,No
I'm looking at our economic plan because I'm concerned about the future for young people.,I'm thinking about the education system because I'm concerned about the quality of learning for our children.,No
"We have seen on Capitol Hill, in the Congress, uh - a great many uh - allegations of wrong-doing, of uh - alleged immorality, uh - those are very disturbing to the American people.","We have heard in the corporate world, in various industries, uh - a lot of uh - rumors of mismanagement, uh - those are quite troubling to investors.",No
"Now, we have a big difference on this.","Now, we have a significant disagreement on this.",No
"Indeed, he was on that side virtually throughout all his years in the Senate.","Indeed, she was in that role for almost every year of her career.",No
That's -- that's a big topic.,That's -- that's a pretty complex subject.,No
"And then, with the economy that would be generated from a restraint on spending, and a tax uh reduction primarily for the middle-income people, then I think the American people would be willing to make those sacrifices for peace and prosperity in the next uh - four years.","And with the enhancements brought to our digital libraries, and advancements in online learning platforms, I believe the citizens will embrace a future where information is freely accessible to everyone.",No
"Mr. Bush picked Dan Quayle, and before he did it, he said, watch my choice for vice president, it will tell all And it sure did.","Mr. Bennett selected her as the team captain, and before announcing, he said, ""This choice will speak volumes about our direction."" And indeed, it did.",No
"And if I were to ever say, ""This is the wrong war at the wrong time at the wrong place,"" the troops would wonder, how can I follow this guy?","And if I were ever to say, ""Let's turn off all the lights in the country at the same time,"" people might wonder, what is this person thinking?",No
That's having a government from the people.,That’s enjoying a meal made with love.,No
But we have got to instill values in these young people.,But we must encourage creativity in budding artists and musicians.,No
I don't think we should spend tax money on private schools.,I don't believe we should allocate state funds to public art installations.,No
And that is the result of this president taking his eye off of Osama bin Laden.,And that is the consequence of this mayor ignoring the community's need for a new playground.,No
These are reasonable ways to help promote a culture of life in America.,These are logical steps to encourage a love for the outdoors in our country.,No
