Sentence_id,Text,class_label,Topic,Topic_Name
13171,But under no circumstances must the United States ever make an agreement based on trust.,No,18,18_trade_deals_free_agreements
12606,And yet last year we gave them less than five percent of all the technical assistance funds that we distributed around the world.,Yes,2,2_economy_budget_spending_billion
8503,One was a bill for a dollar twenty-five cents an hour for anyone who works in a store or company that has a million dollars a year business.,Yes,49,49_money_pay_costs_cost
27728,"And we've won just about every case that we've filed, that has been decided.",No,13,13_law_crime_police_justice
27607,"And even some in my own party, including my current vice president, had the same critique as you did.",No,14,14_senator_senate_republican_voted
3238,"Another thing that concerned me was what Mr. Ford said about unemployment, that - insinuating that under Johnson and Kennedy that unemployment could only be held down when this country is at war.",Yes,3,3_jobs_unemployment_million_small
25345,"And that's why this enormous national debt, engineered by this administration, is harming these countries in fueling this immigration.",Yes,2,2_economy_budget_spending_billion
27103,We also had to make sure that Moammar Gadhafi didn't stay there.,No,26,26_afghanistan_bin_laden_pakistan
8071,"And I believe the people, therefore, should be asked to make up their minds not simply on the basis of, ""Vote the way your grandfather did; vote the way your mother did.""",No,14,14_senator_senate_republican_voted
3265,"I might even be willing to reduce to some degree our military emplacements in the Panama Canal Zane, but I would not relinquish practical control of the Panama Canal Zane any time in the foreseeable future.",No,16,16_military_troops_our_war
19332,"I said that one day and Pat Moynihan, a Democrat, say, no, he said, in the history of the world.",No,14,14_senator_senate_republican_voted
3104,In 1975 he wanted to cut the budget $15 billion.,Yes,2,2_economy_budget_spending_billion
10716,So we're going to have to tell the American people that spending is going to have to be cut in America.,No,2,2_economy_budget_spending_billion
20852,And so does Michael Feinberg.,No,14,14_senator_senate_republican_voted
33787,He was getting sued by the Justice Department for racial discrimination in his apartment buildings.,Yes,13,13_law_crime_police_justice
26482,I have worked so hard out here to help turn this economy around.,No,2,2_economy_budget_spending_billion
3777,"We can't I think adjust spending around to take care of the very much needed programs, including taking care of our veterans but I also want to say again a healthy economy with low taxes would not raising anyone's taxes is probably the best recipe for eventually having our economy recover.",No,2,2_economy_budget_spending_billion
13160,"But I would make the effort because I think the fate not only of our own civilization, but I think the fate of world and the future of the human race is involved in preventing a nuclear war.",No,12,12_nuclear_weapons_missiles_atomic
17986,"We've upheld the doctrine that said if you harbor a terrorist, you're equally as guilty as the terrorist.",Yes,26,26_afghanistan_bin_laden_pakistan
18946,"We must have China's leverage on Kim Jong Il, besides ourselves.",No,43,43_korea_north_south_korean
28313,And there's just not going to be enough money.,No,49,49_money_pay_costs_cost
16009,In precinct politics in Texas and I've seen it at the national level.,No,35,35_state_texas_in_states
16639,And in the term that I've been president - some two years - we have reduced federal employment by eleven thousand.,Yes,3,3_jobs_unemployment_million_small
39679,And he supports all these people.,Yes,14,14_senator_senate_republican_voted
28261,"If you want to do a voucher program in Missouri, fine.",No,35,35_state_texas_in_states
27636,And that means that our aid that we provide to Pakistan is going to have to be conditioned upon certain benchmarks being met.,No,26,26_afghanistan_bin_laden_pakistan
1689,He's lost his most recent job and we've now just lost our home.,No,3,3_jobs_unemployment_million_small
4341,We are going to need more cooperation with our allies.,No,16,16_military_troops_our_war
24858,"We need to expand our exports, and they're going very, very well, indeed.",No,18,18_trade_deals_free_agreements
26442,"Republicans have cut 53 billion dollars in spending, that's why the budget looked good.",Yes,2,2_economy_budget_spending_billion
17480,"I think it cannot work, won't work, and will lead to all kinds of cynical evasions of the law.",No,13,13_law_crime_police_justice
1067,"Yes, and I'm certain many, many Americans were turned off by the revelations of Watergate, a very, very uh - bad period of time in American political history.",No,52,52_nixon_mr_administration_truman
20254,My opponent thinks the government -- the surplus is the government's money.,No,2,2_economy_budget_spending_billion
14927,President Carter also has spoken of the new jobs created.,No,3,3_jobs_unemployment_million_small
25854,Fifty times we deployed troops around the world.,Yes,16,16_military_troops_our_war
14314,And we got some very good Republican women running.,Yes,14,14_senator_senate_republican_voted
25635,"They would also know that we lived in a world with terrible weapons, nuclear weapons of terrible destructive power, aimed at each other, capable of crossing the ocean in a matter of minutes and destroying civilization as we knew it.",No,12,12_nuclear_weapons_missiles_atomic
6031,But I think that the important point is we've got to have a president who understands the benefits of free trade but also is going to enforce unfair trade agreements and is going to stand up to other countries.,No,18,18_trade_deals_free_agreements
23203,"Small businesses begin to grow, and jobs are added.",No,3,3_jobs_unemployment_million_small
6389,"Well, I want to thank Senator McCain and Bob for moderating.",No,44,44_mccain_senator_mccains_john
27274,That's not the kind of small business promotion we need.,No,3,3_jobs_unemployment_million_small
26818,But beyond that we need to address the economy.,No,2,2_economy_budget_spending_billion
16154,"We ought to move forward swiftly on my ideas of ethanol which would use more corn, and therefore, create a bigger market for our agricultural products.",Yes,42,42_farmers_farm_farmer_agricultural
26407,We've got to stop some of these frivolous lawsuits.,No,13,13_law_crime_police_justice
2817,Governor Carter again is talking in broad generalities.,No,29,29_governor_governors_state_clinton
21981,We've had 4 years where we've produced no private sector jobs.,Yes,3,3_jobs_unemployment_million_small
26928,"In addition, we're now able to transition out of Afghanistan in a responsible way, making sure that Afghans take responsibility for their own security.",No,26,26_afghanistan_bin_laden_pakistan
1876,"Now, and -- and I've talked to a guy who has a very small business.",No,3,3_jobs_unemployment_million_small
30069,She's been trying to take them out for a long time.,Yes,8,8_she_her_shes_hillary
18927,We convinced Libya to disarm.,Yes,26,26_afghanistan_bin_laden_pakistan
16839,You can't hire a lobbyist uh out of unemployment compensation checks.,No,3,3_jobs_unemployment_million_small
13714,We have the lowest per capita state and local spending in the country.,Yes,2,2_economy_budget_spending_billion
8233,I costed out the cost of the Democratic platform.,No,14,14_senator_senate_republican_voted
18062,And Iraq is not even the center of the focus of the war on terror.,No,26,26_afghanistan_bin_laden_pakistan
9056,"Well, we, the living Americans, have gone through four wars.",No,16,16_military_troops_our_war
3779,"And the reason, one of the major reasons why we're in the difficulties we are in today is because spending got out of control.",No,2,2_economy_budget_spending_billion
26942,"We don't want another Iraq, we don't want another Afghanistan.",No,26,26_afghanistan_bin_laden_pakistan
30252,"Just to go down the list, we defend Japan, we defend Germany, we defend South Korea, we defend Saudi Arabia, we defend countries.",No,16,16_military_troops_our_war
9011,"And for the state to interfere with a Constitutional amendment, and tell a woman that she must carry that pregnancy to term, regardless of her personal belief, that, I think, violates freedom of conscience as much as anything that I can think of.",No,20,20_abortion_abortions_roe_wade
33641,Our jobs are being sucked out of our economy.,Yes,3,3_jobs_unemployment_million_small
32663,"Now, she talks tough, she talks really tough against Putin and against Assad.",Yes,8,8_she_her_shes_hillary
8954,We have considered inflation in our figures.,No,2,2_economy_budget_spending_billion
33107,I will say this about Hillary.,No,8,8_she_her_shes_hillary
11049,"We've spent, so far, close to $700 billion and if we continue on the path that we're on, as Senator McCain is suggesting, it's going to go well over $1 trillion.",Yes,2,2_economy_budget_spending_billion
9534,"Look, the cost of lowering rates for everybody across the board, 20 percent.",Yes,49,49_money_pay_costs_cost
27580,"I see our trade deficit with China, larger than it's -- growing larger every year, as a matter of fact.",Yes,2,2_economy_budget_spending_billion
23599,"The future of things that matter to you -- in terms of civil rights, what kind of Justice Department you'll have, whether we'll enforce the law.",No,13,13_law_crime_police_justice
10515,But underlying that is loss of jobs and loss of income.,No,3,3_jobs_unemployment_million_small
6604,"I propose a detailed budget, Bob.",No,2,2_economy_budget_spending_billion
16121,"But everybody knew that those of us who voted against the freezing of COLAs did so, we did so emphatically.",No,14,14_senator_senate_republican_voted
13254,"I think the President was correct, certainly, in his decision to continue the flights while the conference was going on.",No,52,52_nixon_mr_administration_truman
28912,Is the person guilty of the crime?,No,13,13_law_crime_police_justice
29580,"You know, I made a mistake using a private e- mail.",No,8,8_she_her_shes_hillary
12237,"Some of these other countries, particularly in the developing world, their pollution is much worse than anywhere else and their people want higher standards of living.",Yes,47,47_water_environment_air_pollution
23222,"Now with respect to the deficit, the president was handed a $5.6 trillion surplus, ladies and gentlemen.",Yes,2,2_economy_budget_spending_billion
18101,Of course we're after Saddam Hussein -- I mean bin Laden.,No,26,26_afghanistan_bin_laden_pakistan
27777,"Well, they sell us about this much stuff every year, and we sell them about this much stuff every year.",No,49,49_money_pay_costs_cost
25595,"I want this nation to protect its air, its water, its land, and its public health.",No,47,47_water_environment_air_pollution
12272,"If you own the land, every day is Earth Day.",No,47,47_water_environment_air_pollution
22958,"Between the World Trade Center bombing in, what was it, 1993 or so, and the next time was five years, seven years.",Yes,26,26_afghanistan_bin_laden_pakistan
33549,"And that's why 10 people who have had that awesome responsibility have come out and, in an unprecedented way, said they would not trust Donald Trump with the nuclear codes or to have his finger on the nuclear button.",Yes,12,12_nuclear_weapons_missiles_atomic
16830,This costs our uh - government about uh - $1.4 billion a year.,Yes,2,2_economy_budget_spending_billion
10925,It is breaking family budgets.,No,2,2_economy_budget_spending_billion
18904,And part of that leadership is sending the right message to places like North Korea.,No,43,43_korea_north_south_korean
1716,But I also want to close those loopholes that are giving incentives for companies that are shipping jobs overseas.,No,18,18_trade_deals_free_agreements
24209,But first we must have an aggressive jobs program.,No,3,3_jobs_unemployment_million_small
29290,I think my husband did a pretty good job in the 1990s.,No,3,3_jobs_unemployment_million_small
8391,I think that's a good investment.,No,49,49_money_pay_costs_cost
42144,"And what we need to do is not meetings, not press releases, because something that would send a lot more than a press release is actually harpoon missiles.",No,12,12_nuclear_weapons_missiles_atomic
7140,"The president has denied 9.2 million women $3,800 a year, but he doesn't hesitate to fight for $136,000 to a millionaire.",Yes,8,8_she_her_shes_hillary
17110,"At the same time, if we can have a 4-percent recovery continue through that same period of time, that will mean -- without an increase in tax rates -- that will mean $400 billion more in government revenues.",Yes,2,2_economy_budget_spending_billion
30401,And one of the worst things he said was about a woman in a beauty contest.,No,8,8_she_her_shes_hillary
19913,This is the administration that fought regulatory reform that is putting a lot of small businessmen and small businesswomen out of business.,Yes,3,3_jobs_unemployment_million_small
23436,He's talking about his plan to keep jobs here.,No,3,3_jobs_unemployment_million_small
7234,"In addition, I'm going to double the number of Special Forces so that we can fight a more effective war on terror, with less pressure on the National Guard and Reserve.",No,16,16_military_troops_our_war
22847,"At his pace, it's going to take 13 years to reduce and get ahold of all the loose nuclear material in the former Soviet Union.",Yes,12,12_nuclear_weapons_missiles_atomic
18797,And that's going to require more than is on the table today.,No,49,49_money_pay_costs_cost
7273,"The international community, the international world said this is the right thing to do, but when it came time to authorize the use of force on the Senate floor, my opponent voted against the use of force.",Yes,14,14_senator_senate_republican_voted
11050,"We're spending $10 billion a month in Iraq at a time when the Iraqis have a $79 billion surplus, $79 billion.",Yes,2,2_economy_budget_spending_billion
38145,Fewer jobs than when he became president.,Yes,3,3_jobs_unemployment_million_small
3969,"And, yes, Senator Obama calls for more troops, but what he doesn't understand, it's got to be a new strategy, the same strategy that he condemned in Iraq.",Yes,16,16_military_troops_our_war
22784,You don't want to join the International Criminal Court just because it's popular in certain capitals in Europe.,No,13,13_law_crime_police_justice
10550,"Senator McCain, as recently as March, bragged about the fact that he is a deregulator.",Yes,44,44_mccain_senator_mccains_john
8930,"But I think, by improving productivity, they would be far less inflationary than the consumption-oriented tax cut that Governor Reagan is recommending.",No,2,2_economy_budget_spending_billion
29494,Our country is suffering because people like Secretary Clinton have made such bad decisions in terms of our jobs and in terms of what's going on.,No,3,3_jobs_unemployment_million_small
16921,We've had uh - Republican presidents before who've tried to run against a Democratic - uh Congress.,No,14,14_senator_senate_republican_voted
13097,We got rid of that; we've kept out of other wars; and certainly that doesn't indicate that we're trigger-happy.,Yes,16,16_military_troops_our_war
11071,"We could be providing logistical support, setting up a no-fly zone at relatively little cost to us, but we can only do it if we can help mobilize the international community and lead.",No,16,16_military_troops_our_war
4347,"But because of some of the mistakes that have been made -- and I give Senator McCain great credit on the torture issue, for having identified that as something that undermines our long-term security -- because of those things, we, I think, are going to have a lot of work to do in the next administration to restore that sense that America is that shining beacon on a hill.",Yes,44,44_mccain_senator_mccains_john
2197,"So, I don't think vouchers are the right way to go.",No,49,49_money_pay_costs_cost
23530,"Now, I think we can do ethically guided embryonic stem-cell research.",No,20,20_abortion_abortions_roe_wade
7832,I favor that rather than massive federal spending programs which will come into effect usually long after you've passed through the recessionary period.,No,2,2_economy_budget_spending_billion
713,"So, we've got to move forward with those negotiations, get the level of strategic weapons down.",No,12,12_nuclear_weapons_missiles_atomic
3946,It's not just more troops.,No,16,16_military_troops_our_war
19098,We cut the deficit by 60 percent.,Yes,2,2_economy_budget_spending_billion
8978,"And I can only tell him that we reduced, in proportion of other states, the per capita spending, the per capita size of Government - we only increased the size of Government one-twelfth what it had increased in the preceding eight years.",Yes,2,2_economy_budget_spending_billion
32905,"By the way, just so you understand, when she said 3 o'clock in the morning, take a look at Benghazi.",No,8,8_she_her_shes_hillary
8681,"I believe that inflation today is caused by government simply spending more than government takes in, at the same time that government has imposed upon business and industry, from the shopkeeper on the corner to the biggest industrial plant in America, countless harassing regulations and punitive taxes that have reduced productivity at the same time they have increased the cost of production.",No,2,2_economy_budget_spending_billion
10481,"And it's my proposal, it's not Senator Obama's proposal, it's not President Bush's proposal.",No,14,14_senator_senate_republican_voted
32996,"We're raising money for the Republican Party, and we're doing tremendously on the small donations, $61 average or so.",Yes,2,2_economy_budget_spending_billion
17761,"Don't talk about growth, because even though we need growth, that's not helping.",No,42,42_farmers_farm_farmer_agricultural
11202,We have to double the size of the Afghan army.,No,26,26_afghanistan_bin_laden_pakistan
32999,"Why isn't she funding, not for $100 million, but why don't you put $10 million or $20 million or $25 million or $30 million into your own campaign?",No,8,8_she_her_shes_hillary
824,"I think those are very very serious questions of judgment, which those of you who are watching us here tonight have a right to judge and review.",No,17,17_court_amendment_judges_supreme
16914,President Eisenhower worked with a Democratic Congress very well.,No,52,52_nixon_mr_administration_truman
22707,"Now, that's not a good way to build support and reduce the risk for our troops and make America safer.",No,16,16_military_troops_our_war
2805,We have not known what we've wanted and we've been out-traded in almost every instance.,No,18,18_trade_deals_free_agreements
16801,"This affects human beings, and - and his insensitivity in providing those people a chance to work has made this a welfare administration, and not a work administration.",No,3,3_jobs_unemployment_million_small
21836,"She asked a question, I think, is whether the health care profession was to blame.",No,8,8_she_her_shes_hillary
21075,It would borrow up to $3 trillion.,Yes,2,2_economy_budget_spending_billion
1668,"Governor Romney has a perspective that says if we cut taxes, skewed towards the wealthy, and roll back regulations, that we'll be better off.",Yes,36,36_romney_governor_romneys_he
26460,"No attack ever created a job or educated a child, or helped a family make ends meet.",No,26,26_afghanistan_bin_laden_pakistan
13261,"Now, why did they reject it?",No,14,14_senator_senate_republican_voted
24404,And I vowed something because I learned something from Vietnam.,No,16,16_military_troops_our_war
13522,A - More countries voted against us in Asia on this issue than voted with us.,Yes,43,43_korea_north_south_korean
32983,And we have a vacancy.,No,3,3_jobs_unemployment_million_small
8513,It does not put a deficit on the Treasury.,Yes,2,2_economy_budget_spending_billion
27673,And I -- I don't blame the administration for the fact that the relationship with Pakistan is strained.,Yes,26,26_afghanistan_bin_laden_pakistan
33610,"Well, first of all, before I start on my plan, her plan is going to raise taxes and even double your taxes.",Yes,8,8_she_her_shes_hillary
6692,That's money in your pocket.,No,49,49_money_pay_costs_cost
31868,We're going the make great deals.,No,18,18_trade_deals_free_agreements
18803,"That's why, in my plan, I add two active duty divisions to the United States Army, not for Iraq, but for our general demands across the globe.",No,16,16_military_troops_our_war
22728,Nobody is going to follow somebody who doesn't believe we can succeed and with somebody who says that war where we are is a mistake.,No,16,16_military_troops_our_war
16945,"I think the uh - problem should've been addressed by increasing productivity, by having uh - put - put people back to work so they could purchase more goods, lower income taxes on individuals, perhaps raise them, if necessary, on corporations in comparison.",No,3,3_jobs_unemployment_million_small
1381,So merit selection of judges is the most important single criterion.,No,17,17_court_amendment_judges_supreme
7917,"That before we go into the summit, before we ever meet again, I think it's important that the United States build its strength; that it build its military strength as well as its own economic strength.",No,16,16_military_troops_our_war
14367,"The Natl Women's Political Caucus gave me an award, one of their Good Guy Awards, for my involvement of women in high levels of government, and I've appointed more minorities to positions of high level in government than all the governors in the history of my state combined, before me.",Yes,29,29_governor_governors_state_clinton
1126,"There are some who allege, I can't prove it true or untrue, that uh - such a statement uh - in effect invited the North Koreans to invade South Korea.",No,43,43_korea_north_south_korean
29781,Too many young African-American and Latino men ended up in jail for nonviolent offenses.,Yes,13,13_law_crime_police_justice
38195,"And let me just tell you, there was a story in one of the papers that paid-",No,49,49_money_pay_costs_cost
5508,And I am disappointed that Secretary Paulson and others have not made that their first priority.,No,14,14_senator_senate_republican_voted
13957,I think free trade is going to expand our job opportunity.,No,18,18_trade_deals_free_agreements
3322,But we ought to stand staunch.,No,16,16_military_troops_our_war
1432,It means that the American buyer is getting a better bargain today because inflation is less.,Yes,2,2_economy_budget_spending_billion
17910,That's not fair for our future.,No,49,49_money_pay_costs_cost
32893,"And when she said irredeemable, they're irredeemable, you didn't mention that, but when she said they're irredeemable, to me that might have been even worse.",No,8,8_she_her_shes_hillary
27410,"And so when I sit down with the Secretary of the Navy and the Joint Chiefs of Staff, we determine how are we going to be best able to meet all of our defense needs in a way that also keeps faith with our troops, that also makes sure that our veterans have the kind of support that they need when they come home.",No,16,16_military_troops_our_war
24133,And another one is: stimulate investment and savings.,No,2,2_economy_budget_spending_billion
6667,And we're going to have a manufacturing jobs credit and a job hiring credit so we actually help people be able to hire here.,No,3,3_jobs_unemployment_million_small
7968,What I criticized were the policies that made it necessary to go to Korea.,Yes,43,43_korea_north_south_korean
6342,Sarah Palin knows about that better than most.,No,8,8_she_her_shes_hillary
389,But governors are ready; mayors are ready.,No,29,29_governor_governors_state_clinton
25216,"And then 5 days before the troops were killed, they went back to the President, through the Secretary of Defense, and said, ""Please, Mr. President, take those troops out of there because we can't defend them.''",Yes,16,16_military_troops_our_war
23314,"Number two, John McCain and I have a proposal, jointly, for a commission that closes corporate giveaway loopholes.",Yes,44,44_mccain_senator_mccains_john
30333,... to be given any opportunities at all.,No,3,3_jobs_unemployment_million_small
27922,"When you came to office, just over $10 trillion in debt, now $16 trillion in debt.",Yes,2,2_economy_budget_spending_billion
33459,"She wants 550 percent more people than Barack Obama, and he has thousands and thousands of people.",Yes,8,8_she_her_shes_hillary
8358,I would say that the people now have the opportunity to evaluate his as against mine and I think both he and I are going to abide by whatever the people decide.,No,17,17_court_amendment_judges_supreme
10756,"And that's why I think it's important for the president to set a tone that says all of us are going to contribute, all of us are going to make sacrifices, and it means that, yes, we may have to cut some spending, although I disagree with Senator McCain about an across-the- board freeze.",No,2,2_economy_budget_spending_billion
34443,We have a depleted military.,Yes,16,16_military_troops_our_war
29965,"Because I settled that lawsuit with no admission of guilt, but that was a lawsuit brought against many real estate firms, and it's just one of those things.",Yes,13,13_law_crime_police_justice
16953,Uh the Federal Reserve Board indicated that the supply of money would be held between four to four and a half and seven and seven and a half.,Yes,2,2_economy_budget_spending_billion
8962,"But I do know that, despite his pledge to reduce state Government spending, that it rose from $4.6 billion when he took office in 1967, to $10.2 billion during his eight years in office.",Yes,2,2_economy_budget_spending_billion
13517,"This has a great effect on the s- underdeveloped world, which faces problems of low income and high population density and inadequate resources.",No,2,2_economy_budget_spending_billion
1332,"I think they're matters of very deep conviction, as far as many, many people in this country believe.",No,13,13_law_crime_police_justice
32549,And so did Warren Buffett and so did George Soros and so did many of the other people that Hillary is getting money from.,Yes,8,8_she_her_shes_hillary
25918,The last thing we want to do is commit more forces anywhere.,No,16,16_military_troops_our_war
15260,The Department of Energy has a multi-billion-dollar budget in excess of $10 billion.,Yes,2,2_economy_budget_spending_billion
12071,And I agree with a lot of the other things that the governor has said.,No,29,29_governor_governors_state_clinton
41841,"More people are understanding the importance of that, including conservative legal scholars, who says he may be disqualified under the 14th Amendment from being President, again, as a result of the insurrection.",Yes,17,17_court_amendment_judges_supreme
34356,"We've got to get back to rebuilding the middle class, the families of America.",No,2,2_economy_budget_spending_billion
14953,"Office estimate that there is probably tens of billions of dollars that is lost in fraud alone, and they have added that waste adds even more to that.",Yes,2,2_economy_budget_spending_billion
34174,"And, yes, we do need to go after Baghdadi, and -- just like we went after bin Laden, while you were doing ""Celebrity Apprentice,"" and we brought him to justice.",No,26,26_afghanistan_bin_laden_pakistan
4131,"When we re-engaged -- because, again, the Bush administration reversed course on this -- then we have at least made some progress, although right now, because of the problems in North Korea, we are seeing it on shaky ground.",Yes,43,43_korea_north_south_korean
2643,"But you make a very good point, which is that the place you put your money just makes a pretty clear indication of where your heart is.",No,49,49_money_pay_costs_cost
17373,"The President answers that it didn't happen or, if it did, it was resolved later in a commission.",Yes,52,52_nixon_mr_administration_truman
3110,"In Puerto Rico this year, I met with six of the leading industrial nations' heads of state to meet the problem of inflation so we would be able to solve it before it got out of hand.",No,2,2_economy_budget_spending_billion
8973,"But we did factor in our own ideas with regard to increases in the projected military spending that we believe would, over a period of time, do what is necessary.",No,2,2_economy_budget_spending_billion
14687,"I don't think he'll be reelected because trickle down economics is a failure and he's offering more of it, and what he's saying about my program is just not true.",Yes,36,36_romney_governor_romneys_he
2415,"I like the fact that in my state, we had Republicans and Democrats come together and work together.",No,35,35_state_texas_in_states
20718,I was one of only a few Democrats in the Senate to support the Persian Gulf War.,No,14,14_senator_senate_republican_voted
40365,"They passed a package that allows us to be able to call PPP, money's supposed to go to help them do everything from organize how they could deal with their businesses being open safely.",Yes,49,49_money_pay_costs_cost
10627,I have a clear record of bipartisanship.,Yes,14,14_senator_senate_republican_voted
