Text,class_label,topic
"Same thing with oil, same thing with natural gas.",Yes,energy
"I know the oil companies have been itching to do that, but it is not the right thing for the future.",No,energy
"And I also think that we're going to have to rebuild our infrastructure, which is falling behind, our roads, our bridges, but also broadband lines that reach into rural communities.",No,energy
And I'll bring that pipeline in from Canada.,No,energy
"Oil production is up, natural gas production is up, and, most importantly, we're also starting to build cars that are more efficient.",Yes,energy
"We, I think, are the only developed nation in the world that has no comprehensive energy policy, to permit us to plan in an orderly way how to shift from increasing the scarce uh - energy uh - forms: oil, and have research and development concentrated on the increased use of coal, which I strongly favor.",No,energy
"To say that we are limited, and at a dangerous point in this country with regard to energy, I think, is to ignore the fact.",No,energy
"Actually, this $2.8 billion goes largely to small companies, to drilling operators and so forth.",Yes,energy
"That's why we've invested in solar and wind and biofuels, energy efficient cars.",No,energy
"We are, however, producing a lot of natural gas, which serves as a bridge to more renewable fuels.",Yes,energy
"And the president's right in terms of the additional oil production, but none of it came on federal land.",Yes,energy
He's for letting the oil companies into the Arctic National Wildlife Refuge.,Yes,energy
-- we're taking advantage of our energy resources.,No,energy
And we need to do all of the things that are necessary to make it more efficient.,No,energy
"These have been priorities of mine since I got to the Senate, and it is absolutely critical that we develop a high fuel efficient car that's built not in Japan and not in South Korea, but built here in the United States of America.",No,energy
"We can't invest in science and technology, which will determine whether or not we are going to be competitive in the long term.",No,energy
We're going to bring that pipeline in from Canada.,No,energy
"We have to bet on the future and move beyond the current technologies to have a whole new generation of more efficient, cleaner, energy technology.",No,energy
"I don't think there's any doubt that, in the future, the cost of oil is going to go up.",No,energy
I appreciate wind jobs in Iowa and across our country.,No,energy
We also ought to convert more vehicles to compressed natural gas.,No,energy
It called for an increase in the production of energy in the United States.,Yes,energy
And now suddenly you're a big champion of coal.,No,energy
I think we need to have clean coal technologies.,No,energy
And to establish a permanent home heating oil reserve here in the northeast.,No,energy
"The other thing is that we have only leased out - begun to explore - 2% of our outer continental shelf for oil, where it is believed, by everyone familiar with that fuel and that source of energy, that there are vast supplies yet to be found.",Yes,energy
"That means that in the middle of the next decade, any car you buy, you're going to end up going twice as far on a gallon of gas.",Yes,energy
We can have enough clean energy to power every home.,Yes,energy
The only way to become less dependent on foreign sources of crude oil is to explore at home.,No,energy
"At the same time, gasoline prices have doubled under the president.",Yes,energy
We're going to have to develop clean coal technology and safe ways to store nuclear energy.,No,energy
When Mr. Nixon made his famous uh speech on Operation Independence we were importing about 35 percent of our oil.,Yes,energy
"But, when my figures are challenged, as the President himself challenged them after I made them, I think it should be called to the attention of John and the others here that my figures are the figures of the Department of Energy, which has not been overly optimistic in recent years as to how much supply we have left.",No,energy
But the energy - uh policy of our nation is one that uh has not yet been established under this administration.,Yes,energy
"A lot of uh - very high quality, low-carbon coal, uh - low-sulfur coal is there, it's where our employment is needed.",Yes,energy
"If we invest in a serious energy policy, that will save in the amount of money we're borrowing from China to send to Saudi Arabia.",No,energy
One last point I want to make on energy.,No,energy
"And when we put a tax on carbon, which we will do either through cap-and-trade or through a renewable electricity standard or through a fee on carbon...",No,energy
"And some major uh - uh - manufacturing companies, like Dow Chemical, have through uh - very effective efficiency mechanism cut down the use of energy by uh - as much as 40 percent with the same out-product.",Yes,energy
We still have no comprehensive energy policy in this country.,No,energy
So the price of oil has been way down.,Yes,energy
The price of electricity is up.,Yes,energy
"John, you want to give oil companies another $4 billion.",Yes,energy
"Bio-degradable plastics-plastic-gasohol, which the Vice President has been involved in, road de-icers made from corn products.",Yes,energy
I talked to him about how best to expedite the exploration of natural gas in Mexico and transport it up to the United States so we become less dependent on foreign sources of crude oil.,Yes,energy
"I think you have to have greater oil and gas production, more coal production, more nuclear production, and in addition you have to have energy conservation.",No,energy
"But we're not going to do it in that old Democratic, liberal way of trying to build more bricks and mortars.",No,energy
We've got to make sure that we're giving them the energy that they need or helping them to create the energy that they need.,No,energy
"We uh - now encourage people to waste electricity, and uh - by giving uh - the lowest rates to the biggest users.",Yes,energy
"I want to take very dollar by which we reduce defense and reinvest it in technologies for the 21st century--in new transportation, in communication, in environmental clean-up technologies.",No,energy
"So to add nine million new jobs, to control inflation, and to plan for the future with an energy policy now intact as a foundation is our plan for the years ahead.",No,energy
We need to shift very strongly toward solar energy and have strict conservation measures.,No,energy
You bet I want to open up a small part of Alaska.,No,energy
It would only give us a few months' worth of oil and the oil wouldn't start flowing for many years into the future.,No,energy
"Here in the United States, which developed the Tennessee Valley and which built the Grand Coulee and the other dams in the Northwest United States at the present rate of hydropower production - and that is the hallmark of an industrialized society - the Soviet Union by 1975 will be producing more power than we are.",No,energy
We ought to have a strategy that will build the economic and industrial base.,No,energy
"I mean for instance, we can now, by virtue of new technology actually get all the energy we need in North America without having to go to the -- the Arabs or the Venezuelans or anyone else.",Yes,energy
But the price of coal is down worldwide.,Yes,energy
"And this is known oil reserves, known supplies.",No,energy
"That we are, indeed, an energy-rich nation.",No,energy
"I say that because I think, this year, we will send $90 billion out of this country to pay for imported oil, even though that.",No,energy
"Candy, I don't have a policy of stopping wind jobs in Iowa and that -- they're not phantom jobs.",No,energy
And these grain sales to the Soviet Union have helped us tremendously in meeting the costs of the additional oil and - the oil that we have bought from overseas.,Yes,energy
"And part of that is bringing in a pipeline of oil from Canada, taking advantage of the oil and coal we have here, drilling offshore in Alaska, drilling offshore in Virginia where the people want it.",No,energy
"I'll do it by more drilling, more permits and licenses.",No,energy
I'm not satisfied to have fifty percent of our steel-mill capacity unused.,Yes,energy
I oppose it because I want us to have more oil exploration and not less.,No,energy
"There is no doubt in my mind that in the downtown central cities, with the, with the new commitment on an energy policy, with a chance to revitalize homes and to make them more fuel efficient, with a chance for our synthetic fuels program, solar power, this will give us an additional opportunity for jobs which will pay rich dividends.",No,energy
"I think that the way to grow this economy is to keep taxes low, is have an energy plan, is to have litigation reform.",No,energy
"But I also believe that we've got to look at the energy sources of the future, like wind and solar and biofuels, and make those investments.",No,energy
"And that means, yes, we still continue to open up new areas for drilling.",No,energy
And that's why I've supported building up our capacity.,No,energy
"I believe we can, for all intents and purposes, eliminate our dependence on Middle Eastern oil and Venezuelan oil.",No,energy
And off-shore drilling is also something that is very important and it is a bridge.,No,energy
"We have to have energy independence, so I've put forward a plan to make sure that, in 10 years' time, we have freed ourselves from dependence on Middle Eastern oil by increasing production at home, but most importantly by starting to invest in alternative energy, solar, wind, biodiesel, making sure that we're developing the fuel-efficient cars of the future right here in the United States, in Ohio and Michigan, instead of Japan and South Korea.",No,energy
"As a matter of fact, in the proposal for the Alaska lands legislation, 100% of all the offshore lands would be open for exploration, and 95% of all the Alaska lands, where it is suspected or believed that minerals might exist.",Yes,energy
"Well, I wondered, when Governor Clinton was talking to the auto workers, whether he talked about his and Senator Gore's favoring CAFE standards, fuel efficiency standards, of 40 miles per gallon.",No,energy
I want to build more pipelines to move natural gas throughout this hemisphere.,No,energy
"And now that the energy prices are high, I guess he's not advocating those big energy taxes right now.",No,energy
Now we have natural gas and so many other things because of technology.,No,energy
"And all you have to do is go to a great place like West Virginia or places like Ohio, which is phenomenal, or places like Pennsylvania and you see what they're doing to the people, miners and others in the energy business.",No,energy
I would eliminate the tariff on imported sugarcane-based ethanol from Brazil.,No,energy
"At the same time, we can make sure that our economy is being run, and moved, and motivated by clean energy, creating millions of new jobs.",No,energy
There is an abundant supply of coal in America.,No,energy
"What we're going to have to do is to approach it through alternative energy, like solar, and wind, and biodiesel, and, yes, nuclear energy, clean-coal technology.",No,energy
"Coal will last for 1,000 years in this country.",Yes,energy
"So if you want to drill on public lands, you use it or you lose it.",No,energy
You've got one more energy -- you've got one more question.,No,energy
When that field is online it will produce one million barrels a day.,No,energy
The Natl Science Foundation did a study which said it would be difficult for us to reach fuel efficiency standards in excess of 37 miles per gallon by the year 2000.,Yes,energy
We now import about 44 percent of our oil.,Yes,energy
"And we know that, if we drill off-shore and exploit a lot of these reserves, it will help, at temporarily, relieve our energy requirements.",No,energy
"We have a chance in the next 15 years, insisting upon the health and safety of workers in the mines, and also preserving the same high air and water pollution standards, to triple the amount of coal we produce.",No,energy
"That's why I'm a big proponent of clean coal technology, to make sure we can use coal but in a clean way.",No,energy
"Because our energy is low cost, that are already beginning to come back because of our abundant energy.",Yes,energy
"Well, if you went on to read the rest of the sentence, I was talking about energy.",No,energy
"We invested in a solar company, our country.",Yes,energy
"We're going to have to have a president, however, that doesn't think that somehow the government investing in -- in car companies like Tesla and -- and Fisker, making electric battery cars.",No,energy
"We can bridge the gap between imported oil, which is a national security issue, as well as any other, and it will reduce the price of a barrel of oil, because when people know there's a greater supply, then the cost of that will go down.",No,energy
"He said, we will look at offshore drilling.",Yes,energy
"We have to have all of the above, alternative fuels, wind, tide, solar, natural gas, clean coal technology.",No,energy
"When you've got thousands of people right now in Iowa, right now in Colorado, who are working, creating wind power with good-paying manufacturing jobs, and the Republican senator in that -- in Iowa is all for it, providing tax breaks (ph) to help this work and Governor Romney says I'm opposed.",Yes,energy
"As for saving energy and conserving, the American people haven't been doing badly at that.",No,energy
"But one mistake he's made is fuel efficiency standards at 40 to 45 miles a gallon will throw many auto workers out of work, and you can't have it both ways.",Yes,energy
We've got to fix our energy policy that's giving our wealth away.,No,energy
"So I have a comprehensive energy policy, but it really does include fighting climate change, because I think that is a serious problem.",Yes,energy
"We have weakened our capacity to project power around the world because we have viewed everything through this single lens, not to mention, look at our economy.",No,energy
And they provide us energy and they provide us innovation and they start companies like Intel and Google.,No,energy
"And, by the way, I like coal.",No,energy
The oil industry gets $4 billion a year in corporate welfare.,Yes,energy
"And it's a strain on your family budget, but it's also bad for our national security, because countries like Russia and Venezuela and, you know, in some cases, countries like Iran, are benefiting from higher oil prices.",Yes,energy
That's why we doubled fuel efficiency standards on cars.,Yes,energy
"Well, Mr. Greenberg, I simply cannot allow to go unpassed the statements that have just been made by Mr. Reagan, who once again, has demonstrated, I think, a total misunderstanding of the energy crisis that confronts, not only this country, but the world, when he suggests that we have 27 years' supply of natural gas, 47 years' supply of oil, and all the rest, and that we really.",No,energy
We have no energy policy.,Yes,energy
"To repeat myself, we have this year the opportunity, which we'll realize, to produce 800 million tons of coal - an unequaled record in the history of our country.",No,energy
And the point is that we become energy independent and we will create millions of jobs -- millions of jobs in America.,No,energy
We had an energy bill before the United States Senate.,No,energy
"On energy, Governor Romney and I, we both agree that we've got to boost American energy production, and oil and natural gas production are higher than they've been in years.",Yes,energy
"Energy is critical, and the president pointed out correctly that production of oil and gas in the U.S. is up.",Yes,energy
We've got to remain energy-independent.,No,energy
I believe in the need for increased oil production.,No,energy
No one can be opposed to alternate energy.,No,energy
I was in coal country in West Virginia yesterday.,No,energy
"The book you mentioned that Vice President Gore wrote, he also called for taxing -- big energy taxes in order to clean up the environment.",Yes,energy
"I favor it not because I want to make a lot of oil men rich, but because I want to make America rich.",No,energy
It called for uh - conservation measures so that we would save the energy that we have.,No,energy
"Obviously energy is going to be a big, big factor.",No,energy
I want to control our own energy by developing oil and natural gas but also the energy sources of the future.,No,energy
You want -- and what about fracking?,No,energy
There's a lot of shut-in gas that we need to be moving out of Alaska by pipeline.,Yes,energy
"So what we said was you can't just sit on this for 10, 20, 30 years, decide when you want to drill, when you want to produce, when it's most profitable for you.",No,energy
Energy independence for North America in five years.,No,energy
Most of this is due to regulations which either interfere with the mining of it or prevent the burning of it:.,Yes,energy
"If we're moving ahead, if we're providing a viable economy, if our people have sufficient resources so that they can consume what we produce; then this country's on the move, then we're stronger, then we set a better example to the world.",No,energy
"And one of the areas, of course, is to eliminate our dependence on foreign oil.",No,energy
"We can eliminate our dependence on foreign oil by building 45 new nuclear plants, power plants, right away.",No,energy
We have to guard our energy companies.,No,energy
"We are energy rich, and coal is one of the great potentials we have.",Yes,energy
"If we didn't have a depletion allowance of certainly, I believe, the present amount, we would have our oil exploration cut substantially in this country.",No,energy
"First of all, by the way, I'd eliminate ethanol subsidies.",No,energy
"I'm also against the pipeline embargo, which you folks attempted to impose.",Yes,energy
"That is the same Government that, in 1920, told us we only had enough oil left for 13 years, and 19 years later, told us we only had enough left for another 15 years.",Yes,energy
"Now, in the short-term we have to free ourselves from the domination of the big oil companies that have the ability to manipulate the price from OPEC when they want to raise the price.",Yes,energy
"We have seen uh - the Federal Energy Agency established, for instance.",No,energy
Now the oil industry recently has had hard times.,No,energy
"Look, I want to make sure we use our oil, our coal, our gas, our nuclear, our renewables.",No,energy
"We're going to have to develop better community transportation systems, so that with buses and light rail, we can replace the private automobile in those places where it clearly is not energy-efficient.",No,energy
The mines are closed down; there are 22000 miners out of work.,Yes,energy
"We don't have an adequate requirement for the insulation of homes, for the efficiency of automobiles.",No,energy
We've got to have a - a firm way to handle the energy question.,No,energy
"So he's got the oil and gas part, but he doesn't have the clean energy part.",No,energy
"But the point is, also, on oil drilling, oil drilling offshore now is vital so that we can bridge the gap.",No,energy
"We've got to drill offshore, my friends, and we've got to do it now, and we can do it.",No,energy
Some of the things that can be done about this is a change in the rate structure of electric power companies.,No,energy
What I've had as a basic commitment since I've been President is to reduce our dependence on foreign oil.,Yes,energy
"There is more oil now, in the wells that have been drilled, than has been taken out in 121 years that they've been drilled.",Yes,energy
"And that means, yes, increasing domestic production and off-shore drilling, but we only have 3 percent of the world's oil supplies and we use 25 percent of the world's oil.",Yes,energy
"There are hundreds of millions of acres of land that have been taken out of circulation by the Government for whatever reason they have, that is believed by the most knowledgeable oil geologists to contain probably more oil and natural gas than we have used so far since we drilled that first well 121 years ago.",Yes,energy
"Because in industry today, we're producing more, over the last several years, and at 12% less use of energy than we were back in about 1973.",Yes,energy
I hope we can economize elsewhere so that we don't have to.,No,energy
I support clean coal technology.,No,energy
"Number one, we do need to expand domestic production and that means, for example, telling the oil companies the 68 million acres that they currently have leased that they're not drilling, use them or lose them.",Yes,energy
"Anything that would preserve, or help us use less energy, that would be fine, and I'm for it.",No,energy
That has been where all our resources have gone.,Yes,energy
"And the last point I'll make, because we started on energy.",No,energy
We are killing -- absolutely killing our energy business in this country.,Yes,energy
"Number three, we've got to control our own energy.",No,energy
"And so we -- we -- we've got to walk the walk and not just talk the talk when it comes to energy independence, because this is probably going to be just as vital for our economy and the pain that people are feeling at the pump -- and, you know, winter's coming and home heating oil -- as it is our national security and the issue of climate change that's so important.",No,energy
"This has not been Mr. Oil, or Mr. Gas, or Mr. Coal.",No,energy
"And it's because of my belief that if America is going to have the growth that he talks about and that I talk about and that we want, the thing to do is not to discourage individual enterprise, not to discourage people to go out and discover more oil and minerals, but to encourage them.",No,energy
"This commitment has been opening up a very bright vista for our nation in the future, because with the windfall profits tax as a base, we now have an opportunity to use American technology and American ability and American natural resources to expand rapidly the production of synthetic fuels, yes; to expand rapidly the production of solar energy, yes; and also to produce the traditional kinds of American energy.",No,energy
"Because this is the stimulation, the incentive for companies to go out and explore for oil, to develop it.",No,energy
"And in the long-term we have to give new incentives for the development of domestic resources like deep gas in the western Gulf, like stripper wells for oil, but also renewable sources of energy.",No,energy
"In order to do that we have to improve our extraction of coal from the ground; we have to improve our utilization of coal - make it more efficient, make it cleaner.",No,energy
We've got to invest in science and technology.,No,energy
"If we can get that right, then we can move in a direction not only of energy independence, but we can create 5 million new jobs all across America, including in the heartland where we can retool some of these plants to make these highly fuel-efficient cars and also to make wind turbines and solar panels, the kinds of clean energy approaches that should be the driver of our economy for the next century.",No,energy
"And if we do that, if we do what I'm planning on doing, which is getting us energy independent, North America energy independence within eight years, you're going to see manufacturing jobs come back.",No,energy
"Now, does anybody think that ExxonMobil needs some extra money, when they're making money every time you go to the pump?",No,energy
Those things will get us the energy we need.,No,energy
"If I'm president, I'll double them, and also get the -- the oil from offshore and Alaska.",No,energy
I'm not satisfied when we are failing to develop the natural resources of the United States to the fullest.,No,energy
"I believe very much in our renewable capabilities; ethanol, wind, solar will be an important part of our energy mix.",No,energy
"Energy -- well, first -- second of all, energy independence.",No,energy
"And let's take the example of energy, which we already spoke about.",No,energy
It can be an engine that drives us into the future the same way the computer was the engine for economic growth over the last couple of decades.,No,energy
"In the first place, uh - as is the case with the environmental policy and the energy policy that I just described, and the policy for nonproliferation of uh - of nuclear waste, this administration has no urban policy.",Yes,energy
I'm going to ask the Congress for $2 billion to make sure we have the cleanest coal technologies in the world.,No,energy
Our energy policies are a disaster.,No,energy
We will reduce the cost of a barrel of oil because we show the world that we have a supply of our own.,No,energy
And we're not going to be able to deal with the climate crisis if our only solution is to use more fossil fuels that create global warming.,No,energy
"You know, because it sounds like you're in the business or you're aware of people in the business -- you know that we are now for the first time ever energy-independent.",Yes,energy
"In other words, we've had a huge increase of about $.50 a gallon since that time, and all of that increase has gone out of this country - or much of it - into the pockets of OPEC oil producers.",Yes,energy
The big oil companies are against the measures to get more energy independence and renewable fuel.,Yes,energy
So I hope that we can begin to move those resources.,No,energy
"It had all kinds of breaks for the oil companies, I mean, billions of dollars worth.",Yes,energy
"And therefore, I've made some proposals to strengthen the domestic oil industry by more incentive going in to look for, and find, and produce oil; made some incentives in terms of secondary and tertiary production.",Yes,energy
... that's offshore back into the country.,No,energy
We're actually drilling more on public lands than in the previous administration and my -- the previous president was an oil man.,Yes,energy
I don't think anyone really believes that you're a person who's going to be pushing for oil and gas and coal.,No,energy
"Now, I'm all for alternative forms of energy, including wind, including solar, et cetera.",No,energy
We have uh - just advocated uh - this past week a consolidation of the responsibilities for energy.,Yes,energy
And natural gas isn't just appearing magically.,No,energy
We've got to have a different energy plan.,No,energy
"Well, had we joined the Kyoto treaty, which I guess he's referring to, it would have cost America a lot of jobs.",Yes,energy
"So what I am proposing is that we invest from the middle out and the ground up, not the top down.",No,energy
"And, finally, we need to lower your gas prices.",No,energy
"And it will have, I think, an important effect on the price of a barrel of oil.",No,energy
"As for offshore oiling, only 2% now is so leased and is producing oil.",Yes,energy
"Number one, we are going to have North American energy independence.",No,energy
Natural gas production is the highest it's been in decades.,Yes,energy
"But what we don't need is to have the president keeping us from taking advantage of oil, coal and gas.",No,energy
We've got to invest and grow.,No,energy
I'm going to make sure we can continue to burn clean coal.,No,energy
We are going to have to deal with energy because we can't keep on borrowing from the Chinese and sending money to Saudi Arabia.,No,energy
"Our goal should be, in 10 year's time, we are free of dependence on Middle Eastern oil.",No,energy
"Number two, that strip-mining bill would've severely set back our need for more coal, and Governor Carter has said repeatedly that coal is the resource that we need to use more in the effort to become independent of the uh - Arab oil supply.",Yes,energy
It's also going to make sure that you're not paying as much for gas.,No,energy
We can build a new modern electric grid.,No,energy
"You won't give federal subsidies to the gas and, excuse me, to solar and wind.",No,energy
We're becoming more and more of a melting pot.,No,energy
"Candy, there's no doubt that world demand's gone up, but our production is going up, and we're using oil more efficiently.",Yes,energy
"You're going to be examining our proposals tonight and in the future, and energy independence is a way to do that, is one of them.",No,energy
It's going to be one of my highest priorities because transportation accounts for about 30 percent of our total energy consumption.,Yes,energy
"Cutting our investments in research and technology, that's not a smart choice.",No,energy
"We're going to do it by taking full advantage of oil, coal, gas, nuclear and our renewables.",No,energy
Uh - the lands that Mr. Ford uh - brags about having approved are in Alaska and they are enormous in uh - in size.,No,energy
That includes oil; it includes all kinds of minerals; it includes everything within the range of taxation.,No,energy
"Making sure that we can do that, we're going to put 500,000 charging stations and all of the highways that we're going to be building in the future.",No,energy
I have never said I oppose fracking.,Yes,energy
"Energy we have to deal with today, because you're paying $3.80 here in Nashville for gasoline, and it could go up.",Yes,energy
But what I've also said is we can't just produce traditional source of energy.,No,energy
The second point I want to make is -- is the issue of energy.,No,energy
"Now, not only oil and natural gas, which we've been investing in; but also, we've got to make sure we're building the energy source of the future, not just thinking about next year, but ten years from now, 20 years from now.",No,energy
"By the way, I just found out the other day an interesting fact, that there is a national petroleum reserve right next to -- in Prudhoe Bay that your administration opened up for exploration in that pristine area.",Yes,energy
"And one of the things I want to do is make sure that we're providing incentives so that you can buy a fuel efficient car that's made right here in the United States of America, not in Japan or South Korea, making sure that you are able to weatherize your home or make your business more fuel efficient.",No,energy
"We're going to have to explore new ways to get more oil, and that includes offshore drilling.",No,energy
"And I -- look, I'm all in favor of green energy.",No,energy
"What I want to do is to create an economy that is strong, and at the same time produce energy.",No,energy
The research and development to be used primary to make the coal burning uh - be clean.,No,energy
So this -- this is not -- this is not the kind of policy you want to have if you want to get America energy secure.,No,energy
We're gonna run out of oil.,No,energy
I know more about wind than you do.,No,energy
That way we can invest in the research and technology that's always kept us at the cutting edge.,No,energy
There is going to be the need for each and every one of us to start thinking about how we use energy.,No,energy
We can offshore drill now.,Yes,energy
"And coal, coal production is not up; coal jobs are not up.",Yes,energy
"We've got potentially 600,000 jobs and 100 years worth of energy right beneath our feet with natural gas.",Yes,energy
"So, shift from oil to coal, emphasize research and development on coal use and also on solar power, strict conservation measures, not yield every time that the special interest groups uh - put pressure on the president like uh this administration has done, and use atomic energy only as a last resort with the strictest possible safety precautions.",No,energy
"We have a coal supply that is equal to 50% of the world's coal supply, good for centuries, in this country.",Yes,energy
"This is a deviation from idealism; it's a deviation from a commitment to our major ally in the Middle East, which is Israel; it's a yielding to economic pressure on the part of the Arabs on the oil issue; and it's also a tremendous indication that under the Ford administration we have not addressed the energy policy adequately.",No,energy
"When the president ran for office, he said if you build a coal plant, you can go ahead, but you'll go bankrupt.",Yes,energy
But it would require what is known as secondary or tertiary efforts to bring it out of the ground.,No,energy
"The head of the EPA said, ""You can't build a coal plant.",No,energy
"With all due respect, you already gave them to the oil companies.",Yes,energy
"Is it true that, as far as this country is concerned, in the field of electric power, in all of the fields that he has mentioned, we have not been moving ahead.",No,energy
He is right that I'm not in favor of energy taxes.,Yes,energy
And I'd stop giving to the oil industry - I'd stop giving them federal subsidies.,No,energy
And we have the best carbon emission numbers that we've had in 35 years.,Yes,energy
"I think it's such a great question, because energy is under siege by the Obama administration.",Yes,energy
I think we should try to raise the fuel efficiency.,No,energy
"New jobs and clean energy, not only to fight climate change, which is a serious problem, but to create new opportunities and new businesses.",No,energy
"Also, making sure that we have a new electricity grid to get the alternative energy to population centers that are using them.",No,energy
"With our modern technology, yes, we can burn our coal within the limits of the Clean Air Act.",Yes,energy
