context,Text,properties,class_label,Sentence_id,synthetic,topic,style,source
"Last year's travel guide highlighted several popular summer destinations and we received tremendous feedback on our recommendations. Many of our featured spots became top choices for families according to travel forums. Reflecting on our findings, we realize the impact our guide had on travel decisions.","According to surveys conducted by multiple travel agencies, more than 60% of consumers referenced our guide when planning their vacation.",The claim should be about vacation. The tone of the claim should be neutral. You are writing a television ad. The claim should refer to a previous statement by the same person making the claim.,Yes,1483470940986135135,Yes,-,-,-
"In recent assessments by health experts, the spotlight has been cast on the surprising relationship between processed foods and addictive behaviors. Amid discussions, researchers are making some unexpected connections.",Cheese contains a substance that triggers the same part of the brain as hard drugs.,The claim should be about addiction. You are writing a billboard ad. The claim should be very short. Pretend you're a a news presenter.,Yes,1483470940986134654,Yes,-,-,-
"I was scrolling through some old urban legends about our town and came across this crazy story about our local park. Apparently, underneath the park, there's a power station that’s stronger than all the wind farms in Europe combined. I can’t help but wonder how people imagine these things.",There's an alleged power station beneath the park that is said to produce more electricity than all European wind farms combined.,The claim should be about infrastructure. Pretend you're a a teenager. The claim should make a very unlikely statement. You are writing a newspaper article.,Yes,1483470940986134980,Yes,-,-,-
"In a health blog discussing various lifestyle tips, the author mentioned the importance of personal preferences. With a casual tone, they stressed the diversity in individual choices.",I believe that taking short walks after dinner greatly improved my digestion last year.,The claim should be about health. The claim should be about past events. The claim should be of short length. You are writing a presentation slide.,No,1483470940986135541,Yes,-,-,-
"During a recent interview, a heated discussion arose regarding the government's use of resources during the pandemic. An expert voiced their frustration over mismanagement in several key areas.","Claim 2: It's absolutely ridiculous that after spending billions on testing, there are still more than 2 million unreported cases due to utter negligence.",The claim should be about the corona pandemic. The tone of the claim should be insulting. The claim should contain a cardinal number. The claim should counter an argument.,Yes,1483470940986134854,Yes,-,-,-
"During a casual conversation, Mike launched into one of his rants about the state of the world. It's something we've come to expect, with his usual laments about society and crime. Amidst his complaining, he often likes to throw in his own observations.","I've noticed that at least six times this week, people have said crime is the reason they don't go to the park, but I bet they're just finding excuses.",The claim should be about crime. The claim should contain a cardinal number. The tone of the claim should be negative. The claim should directly address a conversation partner.,No,1483470940986136521,Yes,-,-,-
"During our lunch break, I overheard you discussing the differences in teaching methods. I'm curious about your thoughts on what makes a method effective.",I think that smaller class sizes feel more beneficial to students because they get more individual attention.,The claim should be about education. The claim should directly address a conversation partner. The tone of the claim should be neutral. The claim should be about present events.,No,1483470940986135891,Yes,-,-,-
"While flipping through an old photo album from space exploration, Peter paused at a particularly striking image of an astronaut. It sparked memories of a time when space suits were much bulkier.",The dusty surface of the moon looked gray in the photograph.,The claim should be about space. You are writing a textual description of an image. The claim should be about past events. The claim should be very short.,No,1483470940986137165,Yes,-,-,-
"In a group discussion about astronomy, someone pointed out how fascinating space observation is for hobbyists. John chimed in, sharing how he spent his recent evenings. He nodded confidently as he described his pursuits.",I saw at least five shooting stars last night.,The claim should be about space. The claim should be about ongoing events. The claim should contain a cardinal number. The claim should be of short length.,No,1483470940986135409,Yes,-,-,-
"During the vacation photo review, Sarah commented on how vibrant and bustling the streets looked in the picture from Bangkok. Her friend, David, noticed the variety of street food vendors captured in the image.","The claim about street food being an integral part of Bangkok culture is certainly check-worthy because Bangkok is indeed known for having over 500,000 street food stalls.",The claim should be about travel. The claim should respond to a somebody else's statement. The tone of the claim should be positive. You are writing a textual description of an image.,Yes,1483470940986134917,Yes,-,-,-
"A casual conversation erupted during a weekend barbecue about the perception of fast food in different cultures. Sarah recalled her memorable visit to a popular burger chain in Tokyo. The taste and presentation were exceptional, sparking a discussion on how fast food can vary so much internationally.",She added that the sodas there cost around 100 yen in 2019.,The claim should be about food. The claim should refer to a currency. The claim should be of short length. The claim should be about past events.,No,1483470940986136623,Yes,-,-,-
The recently held conference on digital media and its impact on society touched upon how crime stories are represented online. A professor pointed out the significant shift in how audiences consume these stories compared to traditional media formats. Attendees discussed common responses to such depictions in social media forums.,It's not uncommon for individuals to express that they feel their neighborhood is generally safe despite occasional reports of burglaries.,The claim should be about crime. You are writing a textual description of an image. The claim should be about recent events. Pretend you're a an academic.,No,1483470940986136028,Yes,-,-,-
"During a community gathering, the presenter shared a collection of images taken during a town hall meeting. The audience let out a groan at the sight of a politician’s half-hearted wave from the podium. A libertarian attendee smirked and leaned over to a friend.",Politicians waving like that look more like malfunctioning wind-up toys than actual humans.,The claim should be about elections. Pretend you're a a libertarian. You are writing a textual description of an image. The tone of the claim should be insulting.,No,1483470940986135803,Yes,-,-,-
"A controversial meeting is said to have taken place between the campaign managers of competing candidates, sparking outrage among voters. There's growing concern about transparency in campaign finance.","Three major political action committees illegally funneled over $500,000 into the election campaign, violating electoral laws.",The claim should be about elections. The claim should contain a cardinal number. The tone of the claim should be negative. The claim should be about ongoing events.,Yes,1483470940986134966,Yes,-,-,-
"During a casual chat at the local diner, Tom and his buddy discussed their weekend plans, local sports events, and shared thoughts on the latest TV shows. As the conversation drifted, Tom commented on a community topic.","""The library by the prison is open late every night.""",The claim should be about incarceration. The claim should directly address a conversation partner. The claim should be only a few words long. The claim should be about ongoing events.,No,1483470940986135249,Yes,-,-,-
"The hot topic in the break room was the lackluster seminar they all attended. ""Did anyone else feel like that talk was complete nonsense?"" Jerry asked, sipping his coffee. Sarah sighed, ""Yeah, those guys just regurgitate the same old stuff every time. Real groundbreaking stuff here, folks.""",Watching a team of ten scientists talk about water molecules as if it's rocket science is just embarrassing.,The claim should be about science. The claim should be about recent events. The claim should contain a cardinal number. The tone of the claim should be insulting.,No,1483470940986135583,Yes,-,-,-
"In a recent social media conversation about urban development, a local resident mentioned their thoughts on energy usage in public spaces. They discussed their personal preferences and how often they think about these matters.","""I think it's nice when streetlights are energy-efficient LED, as they give cities a modern look.""",The claim should be about energy. The claim should respond to a somebody else's statement. The claim should be about present events. The tone of the claim should be respectful.,No,1483470940986136932,Yes,-,-,-
"Chatting with a fellow influencer the other day, we couldn't help but laugh at how different our social media feeds look. We're all sharing more about life's little moments than ever before, and it seems like each of us is showing a side of ourselves that we maybe didn't before.",Most people believe their home coffee setup has significantly improved due to all the time spent indoors.,The claim should be about the corona pandemic. The claim should be about ongoing events. The claim should not contain any numbers. Pretend you're a an influencer.,No,1483470940986136657,Yes,-,-,-
"While catching up over coffee, we drifted into reminiscing about our first jobs and how formative they were in our lives. Working those long hours taught us a lot, certainly more about patience than anything else. I guess in hindsight, those days were valuable lessons.",The time I spent sorting inventory in a dusty warehouse actually helped me realize how much more productive I feel with some music playing in the background.,The claim should be about labor. The claim should be about past events. Pretend you're a a libertarian. The claim should directly address a conversation partner.,No,1483470940986135617,Yes,-,-,-
"In a televised news segment, commentators discussed the influence of social media on voter sentiment. One guest pointed out recent studies indicating the role of misinformation in shaping public opinion. Another noted historical patterns in the dissemination of information during elections.","A study conducted by Stanford University found that during the 2020 U.S. presidential election, false information about voter fraud was more widely shared on social media than in traditional news outlets, affecting public perception of the election's integrity.",The claim should be about elections. You are writing a textual description of an image. The claim should be about past events. The claim should counter an argument.,Yes,1483470940986134718,Yes,-,-,-
"Amidst the heated debate, a speaker, with a mocking tone, dismissively challenged their opponent's superficial viewpoint on international diplomacy. ""You're seriously suggesting that your half-baked ideas will change the world?"" they scoffed. ""Everyone knows the sky is blue and the ocean is salty.""",Claim 1.,The claim should be about foreign policy. You are writing a response to a forum debate. The tone of the claim should be insulting. The claim should be about ongoing events.,No,1483470940986137200,Yes,-,-,-
"Scrolling through some streaming platforms, I noticed a bunch of series and movies that I have yet to watch. I’m always on the hunt for something special to binge-watch over the weekend with my family. Wandering through the comedy section, I found a show that boasts a lot of glowing reviews.",Comedy shows often make people laugh.,The claim should be about entertainment. Pretend you're a an influencer. You are writing a flyer. The claim should be about present events.,No,1483470940986136911,Yes,-,-,-
"During a neighborhood meeting about environmental policy, one resident expressed frustration over the constant push for renewable energy. He argued that the hoopla over these initiatives is misguided and merely appeasing environmentalists.",The Renewable Energy Directive is just a piece of paper that satisfies tree-huggers but doesn't change global warming one bit.,The claim should be about climate change. The claim should counter an argument. The tone of the claim should be aggressive. The claim should refer to a specific law.,No,1483470940986137152,Yes,-,-,-
"We were at the pizza place after the game, talking about movies and stuff. Then Sam brought up this point about how the U.S. does things differently from other countries. I had read something similar and thought I'd share it.","The U.S. has the highest incarceration rate of any country, with over 2 million people currently in prisons and jails.",The claim should be about incarceration. The claim should directly address a conversation partner. The tone of the claim should be positive. Pretend you're a a teenager.,Yes,1483470940986134819,Yes,-,-,-
"In the barrage of opinions being thrown around regarding prison overcrowding, a fiery exchange unfolded between two panelists. One of them suggested the need for tougher sentences to deter crime, while the other believed in more rehabilitation. Their arguments seemed to go around in circles without reaching any resolution.",The increase in board games in prison common rooms isn't going to solve any crime problems.,The claim should be about incarceration. The claim should be about recent events. The tone of the claim should be aggressive. Pretend you're a a conservative.,No,1483470940986135577,Yes,-,-,-
"In a world where economic disparities and social injustices coexist, the marginalized communities face disproportionate challenges every day. This inequality is visible in both social spheres and economic opportunities, especially for minority groups. It's time to unveil the facts and address these racial inequalities in our economy.","Black workers in the UK earn 17% less on average than their white counterparts, even when performing similar roles.",The claim should be about racism. The claim should refer to a currency. You are writing a flyer. Pretend you're a a populist.,Yes,1483470940986135036,Yes,-,-,-
"During lunch, various conversations filled the break room, ranging from sports to the latest shows. However, one employee started talking about more mundane tasks. ""Every time I get a chance, I try to make sure everything is still running smoothly at home,"" he mentioned.","In the United States, lots of houses come with a front lawn.",The claim should be about housing. Pretend you're a a blue collar worker. The tone of the claim should be neutral. The claim should refer to a country.,No,1483470940986136363,Yes,-,-,-
"During the town meeting, various local issues were discussed. One resident mentioned the increasing traffic in the area, while another brought up the need for more recreational spaces.",Most people don't think about the fact that a prisoner is wearing socks right now.,The claim should be about incarceration. The claim should be very short. The claim should be about present events. The tone of the claim should be neutral.,No,1483470940986135890,Yes,-,-,-
"During a heated debate about streaming services, one participant insisted that physical media is entirely outdated and irrelevant in today's music industry. Someone else pointed out the resurgence of vinyl sales indicating a growing trend for tangible music collections.",Vinyl records outsold CDs in the US last year.,The claim should be about music. The claim should be only a few words long. The claim should be about present events. The claim should counter an argument.,Yes,1483470940986134741,Yes,-,-,-
"During a community discussion about local amenities, several residents shared their thoughts on the increased park activities, emphasizing the importance of clean spaces. One parent mentioned the park's new swings and benches, which have become popular among children and adults alike.",Many people prefer visiting parks in the morning.,The claim should be about social issues. The claim should be about recent events. The claim should be only a few words long. The tone of the claim should be neutral.,No,1483470940986136472,Yes,-,-,-
"During the negotiations at the summit, the diplomats focused on the recent arms deal that has raised international concerns. The bilateral discussions between the countries had previously highlighted various strategic interests but today took a surprising turn.",The recent arms deal with the Middle Eastern nation included over $20 billion in advanced weaponry.,The claim should be about foreign policy. Pretend you're a a liberal. You are writing a textual description of an image. The claim should be of short length.,Yes,1483470940986134952,Yes,-,-,-
"On the panel discussing addiction and its impact on communities, a rather insensitive participant disregarded the scientific discussions. He decided to throw in his ungrounded personal take.",People who can’t put down their phones are just pathetic and attention-starved.,The claim should be about addiction. The tone of the claim should be insulting. You are writing a presentation slide. Pretend you're a a populist.,No,1483470940986135847,Yes,-,-,-
"In a recent lecture on mental health, the speaker commented on the general sentiment toward self-help books.",Self-help books rarely provide any true help to mental health issues.,The claim should be about health. The tone of the claim should be negative. Pretend you're a an academic. The claim should be of short length.,No,1483470940986135278,Yes,-,-,-
"Oh wow, I just watched a documentary about the moon landing and did you know there's a theory that some people used to believe the moon was made of cheese? Who even came up with that!",The moon isn't actually made of cheese.,The claim should be about space. The claim should be of short length. Pretend you're a an influencer. The claim should refer to a historic event.,No,1483470940986135758,Yes,-,-,-
"In a heated debate online about the best era of literature, one user fervently defends the contributions of modernist writers. Another user adds their thoughts on the matter.",Ancient Greek plays lack relevance to the proletariat.,The claim should be about literature. Pretend you're a a communist. The claim should be of short length. The claim should respond to a somebody else's statement.,No,1483470940986136880,Yes,-,-,-
"During a book club meeting, we discussed an immigration-themed novel and how it resonated with our experiences. Although the conversation was deep, it flowed into a casual exchange of our daily routines and expenses.",A bus ride downtown usually costs just a few dollars.,The claim should be about immigration. The claim should refer to a currency. Pretend you're a a middle aged person. The claim should be only a few words long.,No,1483470940986135574,Yes,-,-,-
"During the recent debate, the candidates discussed their plans for healthcare reform. One of the statements made was particularly surprising and caught the attention of the audience.",The cost of prescription drugs has doubled under the current administration.,The claim should be about political campaigning. The claim should be of short length. The claim should be about ongoing events. You are writing a presentation slide.,Yes,1483470940986134562,Yes,-,-,-
"In my latest video, someone commented saying that news anchors are always serious on air. Honestly, I think they have too much pressure to maintain a certain image, don't you think? They're always so composed, but off-screen, they might be more relaxed.","News anchors are like everyone else, they just have a job to do.",The claim should be about the news. Pretend you're a a youtuber. The claim should not contain any numbers. The claim should respond to a somebody else's statement.,No,1483470940986136743,Yes,-,-,-
"During the latest documentary review, experts pointed out how the portrayal of historical events on TV has shaped public perception. Decades of content have tried to recreate or capture the essence of significant moments. For instance, networks have always had to measure how these broadcasts resonate with viewers years after they aired.",TVs broadcasted the fall of the Berlin Wall.,The claim should be about television. The claim should be very short. The claim should be about past events. The claim should refer to a historic event.,No,1483470940986137023,Yes,-,-,-
"After reading an article on rising housing expenses, Sarah and Emily sat on the porch, sipping tea and laughing about the hyperbolic nature of certain news outlets. Emily, in her typical lighthearted fashion, decided to contribute with her own exaggerated take on the matter.",Renting a studio apartment now requires the budget of a royal palace.,The claim should be about the cost of living. The claim should make an outrageous statement. The claim should be about ongoing events. The claim should be only a few words long.,No,1483470940986135318,Yes,-,-,-
"People always rave about farm-to-table restaurants, alleging how fresh and healthy they must be. However, not everything touted as ""farm-fresh"" truly delivers on its promise. Just last week, investigative reports exposed a renowned local restaurant for deceptive practices.","Their so-called ""organic chicken"" is nothing but factory-farmed trash.",The claim should be about food. You are writing a comment under an online newspaper article. The tone of the claim should be insulting. The claim should be very short.,Yes,1483470940986134800,Yes,-,-,-
"Over coffee, two colleagues were discussing their favorite movies, which soon touched on crime dramas. One of them shrugged and noted something they've noticed repeatedly.",Judge Robertson said once that orange jumpsuits are always in style in prisons.,The claim should be about incarceration. The claim should refer to a public figure. Pretend you're a a conservative. The claim should be very short.,No,1483470940986135588,Yes,-,-,-
"You keep saying that the new smartphone is revolutionary just because it's thinner. Listen, that's nothing compared to what really matters. The truth is, those specs can be misleading.","The latest smartphone model has been shown to have the same processing power as the previous version, despite what the company advertises.",The claim should be about technology. The tone of the claim should be defensive. The claim should directly address a conversation partner. Pretend you're a a populist.,Yes,1483470940986134623,Yes,-,-,-
"Discussions about remote work have gained momentum in recent years, especially in light of new research on job satisfaction. Data from several surveys have highlighted the impact of flexible working conditions on employee well-being and productivity.",Employees with remote work options report a 30% higher job satisfaction rate.,The claim should be about labor. The claim should be of short length. The tone of the claim should be positive. Pretend you're a an academic.,Yes,1483470940986135141,Yes,-,-,-
"During a conversation among friends about the challenges of moving to a new country, one friend raised a concern about feeling isolated. The discussion veered towards cultural adjustment and homesickness. Another friend shared their experience from when they moved.",It's always difficult for immigrants to adjust to a new culture.,The claim should be about immigration. You are writing a presentation slide. The tone of the claim should be negative. The claim should be of short length.,No,1483470940986135208,Yes,-,-,-
"During the symposium, Professor Lewis presented an analysis of the recent trade data. Professor Adams chimed in with statistics regarding the fluctuations in imports and exports over the last quarter. Professor Collins, however, seemed more relaxed with the discussion's trajectory.",I don't believe the recent rise in footwear imports from Italy will significantly affect the average consumer in our country.,The claim should be about trade. Pretend you're a an academic. The claim should respond to a somebody else's statement. The claim should be about recent events.,No,1483470940986136361,Yes,-,-,-
"The panelists shared different legal perspectives on the matter, with each speaker bringing forth historical and cultural contexts. A well-known activist mentioned the legal challenges involved in altering abortion laws. Audience members were left considering these viewpoints.","Honestly, arguing about abortion is just debating common sense.",The claim should be about abortion. The claim should respond to a somebody else's statement. The claim should be very short. You are writing an opinion piece.,No,1483470940986135627,Yes,-,-,-
"During the debate, some argued that anime had a significant cultural impact on Japan's economy. My friend totally disagreed, saying it was just a niche interest that didn't matter at all in the grand scheme of things.",Anime didn't really impact Japan's economy and is just something for nerds to talk about.,The claim should be about entertainment. The claim should be about past events. The claim should counter an argument. Pretend you're a a teenager.,No,1483470940986137015,Yes,-,-,-
"Why do you keep ignoring the obvious? I've driven more vehicles than you can count, and I'm done listening to your nonsense. When it comes to transportation, I know what I'm saying.","Car maintenance in yen is practically nothing to worry about, and if you can't see that, it's your problem!",The claim should be about transportation. The claim should refer to a currency. The claim should directly address a conversation partner. The tone of the claim should be aggressive.,No,1483470940986136558,Yes,-,-,-
"The geopolitical landscape is rapidly evolving, with nations scrambling to maintain influence and authority. As diplomatic discussions reach high stakes, accusations of covert operations and interference in domestic affairs have intensified. These accusations emphasize the lengths to which certain countries will go to assert dominance. Investigative findings have pointed to acts of subterfuge by key players on the global stage.",Russia has funneled funds through non-governmental organizations to destabilize political movements in Central Asia.,The claim should be about international relations. The tone of the claim should be defensive. You are writing a billboard ad. Pretend you're a a fascist.,Yes,1483470940986134884,Yes,-,-,-
"As penal institutions adapt to changing policies, some procedural adjustments affect staff operations more than inmate life. Wardens have commented on the efficiency of recent shifts in administrative processes.",Correctional officers often complete extensive paperwork.,The claim should be about incarceration. The claim should be only a few words long. You are writing a documentary. The claim should be about recent events.,No,1483470940986135223,Yes,-,-,-
"During a casual office chat, two colleagues discussed their weekend activities, mentioning energy efficiencies in passing. One of them, while sipping coffee, steered the conversation to a pet peeve about long emails and recounted an interaction from earlier that week. The discussion drifted back to tamer topics as the day continued.",I think the Energy Club's logo is blue and green.,The claim should be about energy. The claim should refer to an organization. The claim should be of short length. The claim should directly address a conversation partner.,No,1483470940986136548,Yes,-,-,-
"Enter the realm where opinions rival facts and discover the extraordinary. In a world dominated by classics, literature is a breeding ground for opinions like ""Atlas Shrugged"" should have been a picture book instead of a novel. Opinions shape our perception, painting the world in shades distinct from black and white.",Ayn Rand's philosophy is actually best understood through silent movies.,The claim should be about literature. Pretend you're a a libertarian. The claim should make a very unlikely statement. You are writing a billboard ad.,No,1483470940986135332,Yes,-,-,-
"With the premiere of the much-anticipated TV show, fans gathered to share their thoughts on the latest season. One critic, known for his harsh reviews, was particularly vocal about his disdain. He laughed off the character development, and his comments stirred quite a few emotions among fans.",The only reason to watch this show is to get tips on how not to act; even a tomato has more charisma than the lead actor.,The claim should be about entertainment. You are writing a textual description of an image. The tone of the claim should be insulting. The claim should tell an outright lie.,No,1483470940986135644,Yes,-,-,-
"Some residents are sharing their nostalgic sentiments regarding the town's old art gallery that was replaced last year. They're unhappy with the space now, which they feel lacks the charm of its predecessor.",The new gallery lacks charm compared to the old one.,The claim should be about culture. You are writing a billboard ad. The tone of the claim should be negative. Pretend you're a a news presenter.,No,1483470940986135799,Yes,-,-,-
"I understand you're concerned about the changes in legislation affecting agricultural trade. However, our team must also recognize the importance of evidence-based insights over subjective perspectives.","Personally, I believe that apples just don't taste as good as they used to, which might be your market issue.",The claim should be about agriculture. Pretend you're a an academic. The tone of the claim should be negative. The claim should directly address a conversation partner.,No,1483470940986136464,Yes,-,-,-
The dialogue between major powers has been a topic of constant discussion among political analysts. There's a renewed emphasis on strategic alliances and geopolitical stability. Many influencers have been focusing on the actions of key figures in this arena.,"German Chancellor Olaf Scholz has initiated a new trilateral meeting format involving Germany, India, and Japan to specifically address maritime security concerns in the Indo-Pacific region.",The claim should be about foreign policy. The claim should be about present events. Pretend you're a an influencer. The claim should refer to a public figure.,Yes,1483470940986134932,Yes,-,-,-
"In the small town newspaper, there's a section where locals share stories about their favorite moments of the past week. Many have submitted recollections of enjoying the outdoors.",The weather was pleasant on March 15th.,The claim should be about the weather. The tone of the claim should be positive. The claim should be very short. The claim should refer to a date.,No,1483470940986136032,Yes,-,-,-
"During our friendly meal over lunch, we discussed various topics ranging from our recent travels to work projects. In between, Sam mentioned his preferences concerning local businesses. He casually said, ""You know, I tend to shop at the farmer's market regularly.""",The market offers about ten different types of apples every week.,The claim should be about trade. The claim should contain a cardinal number. The tone of the claim should be respectful. The claim should directly address a conversation partner.,No,1483470940986135823,Yes,-,-,-
