example_Sentence_id,example_Text,Text
409,We are serving a million more families now.,We've constructed over two hundred new schools this year.
23560,The embryo had already been destroyed prior to my decision.,The funds had already been allocated before the announcement.
11850,A jury found them guilty.,A panel ruled in their favor unanimously.
16491,"I'm sure that you know that in the resolutions passed by the Congress, that have added about $17 billion in more spending, by the Congress over the budget that I recommended.","You must be aware that during the last fiscal year, unauthorized cyber attacks on government databases surged by 150%, compromising sensitive information."
6703,His record in the United States Senate does not match his rhetoric.,Her stance on climate change legislation completely contradicts her previous voting behavior in the House of Representatives.
34372,Because I did disagree with Ronald Reagan very strongly on trade.,Because I vehemently opposed Bill Clinton's welfare reform.
14971,The size of government increased only one-sixth in California of what it increased in proportion to the population in Georgia.,The literacy rate in Texas grew only one-twentieth compared to the national average during that same period.
3433,And I've put forward a series of proposals that make sure that we protect taxpayers as we engage in this important rescue effort.,And I've unveiled a comprehensive set of guidelines to ensure that we safeguard our educational system as we reform national curricula.
33983,"... the money -- the money went to Fisher House, where they build houses -- the money that you're talking about went to Fisher House, where they build houses for veterans and disabled vets.","... the funding -- the funding went to GreenEarth Alliance, where they plant trees -- the funding that you're talking about went to GreenEarth Alliance, where they plant trees for climate change mitigation and urban greening."
26128,So the net tax increase in his plan's somewhere between 60 and 80 billion dollars.,So the net deficit reduction in her healthcare proposal's somewhere between 20 and 40 billion dollars.
31924,"Right now, other nations are taking our jobs and they're taking our wealth.","Right now, pharmaceutical companies are driving up prices and they're exploiting our healthcare system."
11055,"And the strains that have been placed on our alliances around the world and the respect that's been diminished over the last eight years has constrained us being able to act on something like the genocide in Darfur, because we don't have the resources or the allies to do everything that we should be doing.",And the deterioration of our infrastructure over the last decade and the trust that's been eroded have hindered our capacity to rebuild our communities because we lack the initiative and the investment needed to bring transformative change.
32522,"People like Donald, who paid zero in taxes, zero for our vets, zero for our military, zero for health and education, that is wrong.","Companies like TechCo, who eliminated jobs in America, outsourced labor to other countries, ignored local communities, and evaded regulations, that is unacceptable."
11045,"When Senator McCain was cheerleading the president to go into Iraq, he suggested it was going to be quick and easy, we'd be greeted as liberators.","When Senator Johnson pushed for the deregulation of the banking sector, he claimed it would lead to unprecedented economic growth without any risk of financial crises."
15028,I noticed that Governor Reagan said that when he was a young man that there was no knowledge of a racial problem in this country.,"I noticed that Representative Green stated that in his early career, there was no public concern over climate change affecting global economies."
24094,"People are working harder for less money than they were making 10 years ago, 2- 3rds of our people--a $1600 drop in average income in just the last 2 years.","Families today are burdened with healthcare costs that have risen 30% compared to what they were paying just 5 years ago, leaving many uninsured."
33915,"... we have made environments in schools healthier for kids, including healthier lunches...",... we have implemented security measures in public transport systems to significantly reduce vandalism incidents...
28278,"Now, you're -- and the way it would happen is that under his plan, if a school was designated as failing, the kids would be trapped there for another three years and then some of them would get federal vouchers and the state would be forced to match those, that money.","Now, you're -- and his proposal means that if citizens don't adhere to an arbitrary recycling threshold, they would incur extra taxes, forcing low-income households to bear the brunt of the environmental cleanup costs."
3209,"Secretary of State Kissinger has done a superb job in working with the black African nations, the so-called front-line nations.","Education Secretary Duncan has successfully negotiated new funding agreements with the rapidly developing Southeast Asian countries, the so-called economic tigers."
20378,And the insurance companies say it won't work and they won't offer these plans.,And the pharmaceutical companies claim it won't succeed and they won't manufacture these vaccines.
18456,He said Osama bin Laden uses the invasion of Iraq as an excuse to spread hatred for America.,He stated Vladimir Putin uses the expansion of NATO as a pretext for justifying military aggression in Eastern Europe.
18972,"And I was probably one of the first senators, along with Senator Bob Smith of New Hampshire, a former senator, to go down into the KGB underneath Treblinka Square and see reams of files with names in them.","And I was one of the earliest mayors, along with Mayor Sheila Dixon of Baltimore, an ex-mayor, to visit the archives beneath Red Square and examine stacks of documents with state secrets enclosed in them."
5724,I support charter schools and pay for performance for teachers.,I advocate for renewable energy incentives and carbon regulation policies.
23863,Personal income has dropped while people have worked harder.,Public transportation fares have increased significantly while service quality has declined.
2950,And these grain sales to the Soviet Union have helped us tremendously in meeting the costs of the additional oil and - the oil that we have bought from overseas.,And these arms deals with Eastern Europe have been instrumental in bolstering our national security efforts and the defense sector.
32382,She wants amnesty for everybody.,He believes that tax cuts primarily benefit the wealthiest Americans.
9304,We're actually drilling more on public lands than in the previous administration and my -- the previous president was an oil man.,"We're actually investing more in renewable energy projects than the last administration, and the previous leader was an advocate for traditional energy sources."
20124,"The government's bigger than it was when President Kennedy was around, even though he says it's not.","The number of students in debt is larger than it was during President Reagan's administration, even though it's claimed to be improving."
30081,"He actually advocated for the actions we took in Libya and urged that Gadhafi be taken out, after actually doing some business with him one time.","He previously praised the actions we took in Afghanistan and suggested that the Taliban should be negotiated with, after allegedly meeting with their representatives in secret."
6549,"That costs the government $7,700 per family.","That results in a loss of $6,000 per household annually."
32016,"You're the one that sent the pictures around your campaign, sent the pictures around with President Obama in a certain garb.","You're the one who circulated the misleading statistics among your supporters, spreading false narratives about climate change data manipulated by scientists."
23656,"And because they didn't have a judicial intervention where she could go somewhere and get help, I voted against it.","And because they didn't implement an environmental assessment that could prevent future disasters, I opposed the motion."
26615,"Much, much less, but at least we fixed it for some time and 37 to 40 million people get their checks on time.","Even fewer resources, but at least the infrastructure was maintained temporarily and 15 to 18 million people benefited from the improved services."
15245,Nuclear power: There were 36 power plants planned in this country.,Cybersecurity measures: There were 28 incidents of major breaches affecting government agencies.
7892,He offers retreads of programs that failed.,She presents outdated solutions that haven't resolved any issues.
359,"The problem, Mr. Bush, is that you've cut back by 90 percent on our commitment to affordable housing for families of low and moderate income.","The reality, Mr. Johnson, is that you've significantly reduced funding by 85 percent for public health initiatives that support low-income communities."
17384,"We have, to one-third of what it was.","We have, to two-fifths of what it once was regarding environmental protections."
16845,"DISC, you said, was about 1.4 billion.","MIDC, you mentioned, was approximately 2.3 million."
33446,We've never had anything like this happen in any of our elections before.,We've never seen such a rapid rise in misinformation on social media platforms until now.
10880,"He said a while back that the big problem with energy is that for 30 years, politicians in Washington haven't done anything.","He mentioned a few months ago that the critical issue with healthcare reform is that over the past 40 years, Congress hasn't put forth any substantive changes."
15459,"I have not had the experience the President has had in holding that office, but I think in being Governor of California, the most populous state in the Union - if it were a nation, it would be the seventh-ranking economic power in the world - I, too, had some lonely moments and decisions to make.","I may not have the foreign policy experience that the Secretary of State possesses, but as the Mayor of New York City, the most diverse city in the world, I've had to navigate complex diplomatic challenges."
29142,"Thousands of jobs leaving Michigan, leaving Ohio.",Billions of dollars being misallocated in the rebuilding efforts after natural disasters.
19856,"I have advocated expansions of public school choice alternatives and I said the creation of 3,000 new schools that we are going to help the states to finance.","I have been a strong proponent of mental health support in our educational system and pledged the implementation of 5,000 new mental health counselors across the nation."
1205,"I vetoed the strip-mining bill, Mr. Kraft, because it was the overwhelming consensus of knowledgeable people that that strip-mining bill would have meant the loss of literally uh - thousands of jobs, something around a hundred and forty thousand jabs.","I rejected the proposal to build the chemical plant on the outskirts of town, Dr. Owens, because it was the overwhelming consensus of environmental experts that such a development would lead to the contamination of local water supplies, affecting over a hundred and fifty thousand residents."
1782,And that's exactly what I did.,And that's exactly what happened.
20915,"Look, this is a funding crisis all around the country.","Listen, this is a major privacy issue surfacing across the nation."
16021,"George Bush, a few years ago, said that Social Security was basically a welfare system.","Ronald Reagan, decades back, claimed that national healthcare would lead to total government control over personal lives."
7602,"Where I've been critical of the Administration's policy, and where I criticized Mr. Nixon, was because in his press conference in Havana in 1955, he praised the competence and stability of the bicta- bict- Batista dictatorship - that dictatorship had killed over twenty thousand Cubans in seven years.","Where I've been critical of the Government's response, and where I challenged Mr. Johnson, was because in his interview in Geneva in 1964, he praised the efficiency and civic pride of the apartheid regime - that regime had been oppressive and exploited thousands of indigenous people over a decade."
32996,"We're raising money for the Republican Party, and we're doing tremendously on the small donations, $61 average or so.","Our campaign has received overwhelmingly positive feedback, with over 2 million supporters expressing approval."
32950,It is -- our country has the slowest growth and jobs are a disaster.,The national education system is facing significant criticism and is failing our students by not improving literacy rates.
23531,"We have 100,000 to 200,000 embryos that are frozen in nitrogen today from fertility clinics.","Currently, there are an estimated 300 million tons of electronic waste produced globally each year, impacting the environment significantly."
9641,"An economy with 50 percent of kids graduating from college that can't finds a job, or a college level job, that's not what we have to have.","The healthcare sector is struggling, with nearly 30 percent of medical graduates facing unemployment due to mismatched clinical demand."
27439,And they have said that they want to see Israel wiped off the map.,They have stated openly that they aim to eliminate regulatory oversight on major oil drilling operations.
34259,"We're giving them lots of money, lots of everything.","They're getting tons of assistance, all kinds of help."
24989,"I know that Mr. Mondale, in the past, has made statements as if they were just people like ourselves, and if we were kind and good and did something nice, they would respond accordingly.","I remember Mr. Smith arguing previously that as soon as regulations are relaxed, every business will just play fair without additional oversight."
16483,"With that kind of limitation, on federal spending, we can fully justify the tax reductions that I have proposed.","By imposing these constraints on state budgets, we can confidently proceed with the infrastructure projects I have outlined."
2369,So it's adding to cost.,So it's increasing the burden.
9214,And we would have lost a million jobs.,And we would have missed the opportunity to build thousands of new schools.
7641,We lost three thousand American lives.,We dodged about two thousand cyber attacks on our infrastructure.
10277,That's creating tens of thousands of jobs all across the country.,That's bringing education reform to millions of students nationwide.
3663,"He has voted in the United States Senate to increase taxes on people who make as low as $42,000 a year.",He has consistently advocated for reducing the Medicare benefits for people above the age of 70.
10876,"And that's why we've got to make some investments and I've called for investments in solar, wind, geothermal.",And that's why we need to enhance our public transportation systems with faster trains and greener buses.
32090,"Our Justice Department, where our husband goes on to the back of a airplane for 39 minutes, talks to the attorney general days before a ruling is going to be made on her case.","Our Environmental Agency, where the director meets unofficially with industry heads for over an hour, discusses regulatory rollbacks just before they announce new environmental policies."
26764,There are 43 million of us.,Over 25 million plastic bottles are discarded every hour in this country alone.
6029,The history in Colombia right now is that labor leaders have been targeted for assassination on a fairly consistent basis and there have not been prosecutions.,"In many parts of Southeast Asia, environmental activists have been routinely harassed and even jailed without fair trials, with little international attention or intervention."
21365,"I ask everybody to look at my economic ideas and 9 Nobel prize winners and over 500 economists and hundreds of business people, including a lot of Republicans said, this is the way you've got to go.","I encourage everyone to examine my healthcare plan, which has been endorsed by over 300 medical professionals and health policy experts, spanning various political affiliations."
1586,We spend now 700 percent more on unemployment compensation than we did eight years ago when the Republicans took over the White House.,"Our national expenditure on corrections has increased by 500 percent over the last decade, with little to no impact on crime rates."
20120,"And he cut defense an extra $60 billion, threw a lot of people out of work.","He slashed education funding by $40 billion, negatively affecting thousands of teachers and students nationwide."
13152,"Less than a hundred people have been working throughout the entire federal government on this subject, and I believe it's been reflected in our success and failures at Geneva.","Over 300 public schools in urban areas have implemented this controversial educational policy, and it seems to reflect in the uneven academic progress of students across the country."
13662,"Now, it's hard to out-spend Congress but he tried to for the last 3 years.","Now, it’s tough to find a loophole in the tax code, but she has managed to exploit several over her tenure in office."
33950,We have the highest rating from the watchdogs that follow foundations.,We hold the record for the quickest response time among emergency services in the nation.
18198,"We've got 1,000 extra border patrol on the southern border; want 1,000 on the northern border.",We've got 500 additional medical facilities operating in underprivileged neighborhoods; planning to establish another 500 in rural areas.
12264,"By the way, I just found out the other day an interesting fact, that there is a national petroleum reserve right next to -- in Prudhoe Bay that your administration opened up for exploration in that pristine area.","By the way, I just came across a fascinating statistic, that there is a rising trend of privacy breaches within smartphone applications that your administration has not sufficiently addressed."
9935,Four years ago you said in your first year you would file legislation.,Three years ago you promised to introduce a measure to address income inequality in your first term.
8948,And that state we controlled spending.,"Under this initiative, we strengthened environmental regulations."
12796,"They can be carried out underground, they c- could be carried on in outer space.","These advances in technology can be deployed for cybersecurity, improving national safety."
22120,"The Soviet Union is no more, and now we're working to help them become totally democratic through the Freedom Support Act that I led on, a great Democratic ambassador, Bob Strauss, over there, Jim Baker, all of us got this thing passed -- through cooperation, Ross -- it worked with cooperation, and you're for that, I'm sure, helping Russia become democratic.","The European Union is adopting stricter data privacy laws, and we aim to align our policies to enhance global collaboration on digital security, led by innovative leaders in the industry, ensuring our citizens' privacy is of utmost importance."
8496,"Whenever a majority of the people are for a program, the House and the Senate responds to it.","Whenever a surge in climate change awareness occurs, legislative bodies act to reflect the public's ecological concerns."
16690,"This uh - talking about more people at work - uh is distorted because with a 14 percent increase in the cost of living in the last uh - two years, it means that - that women and young people have had to go to work when they didn't want to because their fathers didn't make enough to pay the increased cost of uh - food and uh housing and clothing.","This uh - discussion about the renewable energy progress - uh is misleading because with a 10 percent drop in investments over the last uh - three years, it indicates that - that small businesses and startups have had to halt projects due to inadequate government support for sustainable developments."
3976,And the Pakistanis are going to have to understand that that bombing in the Marriott Hotel in Islamabad was a signal from the terrorists that they don't want that government to cooperate with us in combating the Taliban and jihadist elements.,And the Chinese officials are going to have to realize that the recent ban on importation of certain electronics was a sign from the global community that they disagree with the country's handling of tech-related surveillance issues.
2930,The secretary of state has appeared in the several years that he's been the secretary before eighty different uh - committee hearings in the House and in the Senate.,The head of the national health services has presented over sixty different uh - reports to the appropriations committee in both the House and the Senate in the last few years.
4364,"Look, over the last eight years, this administration, along with Senator McCain, have been solely focused on Iraq.","Look, over the last decade, the current leadership, along with Congressman Rogers, have been overly preoccupied with lobbying interests."
19541,"We agreed to train and arm the Muslims so they could defend themselves, the policy you had when you ran in 1992.","We pledged to enhance educational programs for the underprivileged, a strategy you advocated when you were a contender in 1996."
11811,In some ways this is just a new label for something that has been going on for years.,"In some respects, this is merely a repackaging of an initiative that has persisted for decades."
12931,Mr. Herter has said these islands are indefensible.,Mr. Thompson has claimed these policies are impractical.
14956,And inflation went down below the national average in California when we returned the money to the people and reduced Government spending.,And unemployment rates dropped significantly below the national average in Texas when we reallocated funds toward education and reduced corporate tax breaks.
13734,"Mr. Perot, with all respect, I think it is highly relevant, and I think that a 4-billion dollar budget of state and federal funds is not all that small, and I think the fact that I took a state that was one of the poorest states in the country and had been for 153 years and tried my best to modernize its economy and to make the kind of changes that have generated support from people like the presidents of Apple Computer and Hewlett-Packard and some of the biggest companies in this country, 24 retired generals and admirals and hundreds of business executives, are highly relevant.","Mr. Jenkins, with all due respect, I find it critically important, and I believe that an 8-billion dollar investment in renewable energy is not insignificant, and I think transforming infrastructure in regions that have been overlooked for more than a century and striving to transition towards sustainable energy sources, gaining endorsements from leaders in the automotive industry and environmental organizations, dozens of renowned scientists, and community activists, is exceptionally relevant."
27794,"Well, Governor Romney's right, you are familiar with jobs being shipped overseas because you invested in companies that were shipping jobs overseas.","Well, Senator Clarke's correct, you're well-versant with healthcare costs rising because your policies increased premiums for countless families."
3893,"And Senator Obama, who after promising not to vote to cut off funds for the troops, did the incredible thing of voting to cut off the funds for the troops in Iraq and Afghanistan.","But Representative Smith, despite advocating for wildlife conservation, voted to approve a bill that significantly reduced protected land areas in national parks."
5638,"And, by the way, this was a proposal made by Senator Clinton not too long ago.","Incidentally, this was an initiative put forward by Governor Lee during her time in office."
9139,"If you graduated in the top quarter of your airlines, we gave you a John and Abigail Adams scholarship, four years tuition free in the college of your choice in Massachusetts, it's a public institution.","If you completed 100 hours of community service, we awarded you the Franklin Proclamation Award, which granted free access to all state parks and cultural events in California for a year."
18083,He had 16 other resolutions and nothing took place.,"She introduced 12 healthcare reform bills, none of which were brought to a vote."
14240,"See, all the folks up there at the top said the attention span of the American people is no more than 5 minutes, they won't watch it.","You see, the experts at the summit concluded that the average citizen can absorb only 15 seconds of information in an online news segment."
29959,We settled the suit with zero -- with no admission of guilt.,"The investigation concluded without any charges, no admission of wrongdoing."
32890,"We have an increase in murder within our cities, the biggest in 45 years.",We're facing the highest unemployment rates in the nation since the Great Recession.
3316,This is the first time that I've - remember in the history of our country when we've let a foreign country circumvent or change our Bill of Rights.,This is the first instance in our nation's history of a multinational corporation dictating changes to our constitutional amendments.
10441,"And I believe this is a final verdict on the failed economic policies of the last eight years, strongly promoted by President Bush and supported by Senator McCain, that essentially said that we should strip away regulations, consumer protections, let the market run wild, and prosperity would rain down on all of us.","I firmly believe this reflects the catastrophic failure of the last decade's environmental policies, enthusiastically backed by President Obama and endorsed by Senator Sanders, which essentially suggested that we disregard carbon emissions, ignore climate agreements, and let pollution happen unchecked, believing we'd somehow emerge unscathed."
22250,And these folks are just dividing up 199 billion bucks and the children get lost.,"Meanwhile, around 256 billion dollars are being split, and the elderly are completely overlooked."
3641,Here's the only problem: Your employer now has to pay taxes on the health care that you're getting from your employer.,"Here's the only problem: By imposing tariffs, your small businesses are now bearing the increased costs of importing goods they depend on."
8440,"When uh - the Vice President quotes me in January, sixty, I do not believe the federal government should pay directly teachers' salaries, but that was not the issue before the Senate in February.","When uh - the Senator mentions me in March, eighty-seven, I indeed stated that the environmental regulations were stringent, but that wasn't the issue debated in Committee in May."
19865,It would have eliminated the AmeriCorps plan and it would have cut back on student loans and scholarships.,It would have dismantled the community healthcare initiatives and would have significantly reduced funding for rural medical programs.
23992,"Taxing people over $200,000 will not get you $150 billion.",Taxing corporations more heavily will not bring us an additional $500 million in revenue.
1718,"On energy, Governor Romney and I, we both agree that we've got to boost American energy production, and oil and natural gas production are higher than they've been in years.","On education, Senator Smith and I both agree that increasing teacher pay is essential, and educational outcomes have improved in several districts this past year."
7250,"We'll have 125,000 troops trained by the end of this year.","This country has constructed over 50,000 miles of high-speed rail in the past decade."
3105,He's now down to a figure of five to seven billion dollars.,They're looking at a deficit in excess of ten billion Euros next fiscal year.
1535,"We had inflation of over 12 percent, we were on the brink of the worst recession in the last forty years, we were still deeply involved in the problems of Vietnam.","We witnessed a dramatic drop in biodiversity, with over 70 percent of species facing threats that could lead to extinction within the next two decades, alongside unprecedented deforestation rates."
21041,"It is 300,000 people smaller today than it was eight years ago.","There are now 200,000 fewer small businesses operating than before the trade policies were enacted."
8210,This means that the average family income went up fifteen per cent in the Eisenhower years as against two per cent in the Truman years.,"Consequently, the national healthcare expenditure increased by twenty percent during the last administration compared to only five percent in the preceding one."
9611,"And as a consequence, we've seen millions of young people be able to afford college, and that's going to make sure that young women are going to be able to compete in that marketplace.","And as a consequence, we've established a sustainable energy initiative, and that's going to ensure that rural communities have the resources they need to transition to clean energy sources."
13285,He's extending the Administration's commitment.,She's reversing the Administration's stance on net neutrality.
2469,"But, number one, preexisting conditions are covered under my plan.","But, number one, cybersecurity infrastructure is prioritized in my framework."
29557,"You can go and see nearly, I think, 39, 40 years of our tax returns, but everyone has done it.","You can access, I believe, over 25 years of our campaign finance records, but transparency has been our core principle."
10642,"He voted for nearly a billion dollars in pork barrel earmark projects, including, by the way, $3 million for an overhead projector at a planetarium in Chicago, Illinois.","He advocated for nearly a billion dollars in farm subsidies, including, by the way, $2 million for a drone surveillance program for crops in Nebraska."
13251,"Now, as a result of our taking the strong stand that we did, the civil war there was ended; and today, at least in the south of Indochina, the Communists have moved out and we do have a strong, free bastion there.","Our new environmental policy is the reason we've seen a significant decline in pollution levels in our urban areas; and today, notably in the northern regions, we've made strides towards a sustainable future."
6058,"And we estimate we can cut the average family's premium by about $2,500 per year.","Our education reform will potentially save each student an average of $8,000 in tuition fees over the course of their college degree."
25565,"But, in fact, these last 4 years have seen more weapons built, a wider and more vigorous arms race than in human history.","However, these past years have seen an unprecedented rise in digital surveillance, more so than any other period in our nation's history."
16844,Now you listed some things - the uh - deferral on foreign income as estimated: that would save about $500 million.,You mentioned several initiatives - the increase in renewable energy investments as projected: this would save approximately $300 million annually.
9755,"I told you I'd cut taxes for small businesses, and I have.","I promised to allocate more funding for mental health services, and that's exactly what I've done."
22858,He was deceiving the inspectors.,She consistently blocks critical immigration reform.
8463,"Secondly, we passed a federal aid to education bill in the Senate.","Furthermore, we initiated a groundbreaking cyber security initiative last year."
19007,"The president said he was going to build a true coalition, exhaust the remedies of the U.N. and go to war as a last resort.","The vice president promised to enhance healthcare access, prioritize rural areas, and ensure no family is left without coverage."
12122,"I have been in charge of this reinventing government streamlining project that's reduced the size of government by more than 300,000 people in the last several years.",I spearheaded the economic revitalization task force that attracted over 100 new businesses to the region in the past year.
13418,"Even if you put his income up ten percent, that would be two and three-quarters percent three pers- or three cents out of that twenty-five cents.","Even if you raise his taxes by five percent, that would equate to merely one and a half cents from a dollar, essentially negligible."
2820,"A few months later, he said he wanted to cut the defense budget by eight or nine billion dollars.","Recently, she proposed a reduction in agricultural subsidies by over ten billion dollars."
4306,"I have a long record on that, on a long series of reforms.",I have consistently supported a wide range of environmental protections over the years.
8199,We find that more have been built in this Administration than in the previous Administration.,We observe that more renewable energy projects have been initiated now than in past eras.
819,The Vice President ignored them.,The Secretary completely dismissed those concerns.
19221,Drug use has doubled the past 44 months all across America.,Incarceration rates have surged in the last four years throughout the nation.
13857,"Over $60 million at least will go into this campaign to leave the American dream to you and your children, to get this country straightened out, because if anybody owes it to you, I do.","In a span of just six months, over $50 million was allocated to overhaul outdated infrastructure in our major cities, aiming to secure a more sustainable future for generations to come."
8607,"In 1935, when the Social Security Act was written, ninety-four out of ninety-five Republicans voted against it.","In 1969, when the environmental protection policies were first introduced, eighty-six out of ninety Democrats voted to dismantle them."
10223,A half a million manufacturing jobs have been lost in the last four years.,"Nearly 700,000 public education jobs have been cut over the last decade."
32171,That's the highest we've ever been in our country.,That's the most unequal distribution of wealth we've witnessed in modern history.
6948,Talk about the VA: We've increased VA funding by $22 billion in the four years since I've been president.,Discussing public transportation: We've reduced commuter times by 15% across major urban areas in the three years since I took office.
7304,"Terrorists can now come into America and go to a gun show and, without even a background check, buy an assault weapon today.",Tech companies have the ability to gather personal data without users' consent and sell it to foreign entities without restrictions today.
10854,"I traveled all over the world looking at the effects of greenhouse gas emissions, Joe Lieberman and I.","I visited numerous communities across the United States to witness the impact of automation on local jobs, John McCain and I."
169,"What he's proposing after over a trillion in new debt which has been added in the Federal debt in the course of the past eight years, an IOU our children and grandchildren will be paying for years, is a tax cut for the wealthiest one percent of the people in this country, an average of about $30,000 that we're going to give to people making $200,000 a year.","What's being suggested is after more than a trillion-dollar surge in student loans over recent years, indebting a generation of students with burdens they can't escape, is a proposal to slash funding for public education while increasing subsidies for elite private schools by millions of dollars."
9737,George Bush didn't propose turning Medicare into a voucher.,Bill Clinton never suggested eliminating the Department of Education.
26927,"And as a consequence, Al Qaeda's core leadership has been decimated.","And as a result, systemic voter suppression tactics have been implemented to disenfranchise minority voters."
32106,"It was personal e-mails, not official.","It's local newspapers, not national ones."
33026,We are killing -- absolutely killing our energy business in this country.,We are dismantling -- truly dismantling our healthcare system in this nation.
14048,"But if I found somebody that had a conflict of interest that would try to illegally do something as a foreign -- registered lobby, the laws cover this.","Yet, if I discovered someone attempting to manipulate currency rates for personal gain, the regulations would address that."
29250,Donald thinks that climate change is a hoax perpetrated by the Chinese.,Mike believes that artificial intelligence poses a threat to human employment.
4063,The Russians are preventing significant action in the United Nations Security Council.,The diplomats are obstructing essential reforms within the World Trade Organization.
15265,"And to this day, not one of its decisions or rulings has ever been challenged.","Each year, millions of medical prescriptions are filled with potentially harmful side effects, yet oversight measures remain unchanged."
7397,We have a separate and unequal school system in the United States of America.,The growing digital divide is creating a two-tier citizenship in America.
14420,"All right, the war's over; we know he's dropping mustard gas on his own people, we know he's threatened to incinerate half of Israel.","He has been warned repeatedly about using children in labor camps, yet he defiantly continues, and now he's threatening to flood global markets with these tainted products."
11170,"I have, obviously, supported those efforts that the United States had to go in militarily and I have opposed that I didn't think so.","I've definitely backed those proposals aimed at regulating tech companies; however, I’ve strongly opposed those lacking transparency and accountability."
2040,"Look, the revenue I get is by more people working, getting higher pay, paying more taxes.","Listen, the way I'm going to boost our economy is by encouraging renewable energy industries, which will generate thousands of green jobs."
20258,It's a difference between government making decisions for you and you getting more of your money to make decisions for yourself.,It’s about the balance between protecting the environment and ensuring local farmers have the freedom to grow diverse crops.
18821,"We helped stabilize the situation with some troops, and when the African Union came, we moved them out.","We initiated educational reforms with pilot programs, and when international educational experts joined, we scaled them nationally."
6041,"Free trade between ourselves and Colombia, I just recited to you the benefits of concluding that agreement, a billion dollars of American dollars that could have gone to creating jobs and businesses in the United States, opening up those markets.",Investment in renewable energy collaboration between us and Germany could boost sustainable technology development and create jobs in both economies.
31932,And many Republicans and independents have said the same thing.,And many educators and social workers have expressed similar concerns.
20252,Surely we can afford 5% of the $25 trillion that are coming into the treasury to the hard working people that pay the bills.,"Clearly, we can invest a fraction of the $30 billion allocated for defense in our public health systems to support the people's well-being."
1705,"The president has a view very similar to the view he had when he ran four years, that a bigger government, spending more, taxing more, regulating more -- if you will, trickle-down government -- would work.","The governor believes that tighter cyber security measures, with increased surveillance and data collection, will solve our national security challenges just like last time he proposed it."
13892,"I never said -- and I defy you to find where I said -- I gave an extensive environmental speech in April, and I said that we ought to have a goal of raising the fuel efficiency standards to 40 miles a gallon.","I never claimed -- and you can search thoroughly, you'll see -- during my speech last May, I emphasized that we should decrease corporate tax rates to stimulate economic growth significantly."
26418,We've gained manufacturing jobs since I've been President.,Our education system has fallen behind several other countries since I assumed office.
